"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured.Start.Date","Occured.End.Date","Occured.Start.Time","Occured.End.Time","Stand_inc"
"3190","Non-Criminal Damage to Property","850 E. 63rd St. ","Car Wash","6/2/2015","8:48","Rear wiper blade assembly damaged on UC owned vehicle during car wash","Closed","E00347","6/2/2015",NA,"8:00",NA,"DAMAGE TO PROPERTY"
"3191","Non-Criminal Damage to Property","5609 S. Stony Island ","Public Way","1/12/2018","9:54","Due to high winds, a dumpster rolled off of UC owned property and struck a car parked on the street / Owner notified","Closed","18-00044","1/12/2018",NA,"9:50",NA,"DAMAGE TO PROPERTY"
"3192","Non-Criminal Damage to Property","5730 S. Drexel ","Comer Hospital","10/19/2017","9:24","Electrical cord reel damaged when cord became stuck in door of ambulance in ambulance bay","Closed","17-00906","10/19/2017",NA,"9:05",NA,"DAMAGE TO PROPERTY"
"3193","Non-Criminal Damage to Property","970 E. 58th St. ","Bookstore","10/18/2014","8:37","Front door of store damaged / Cause unknown at this time","Closed","D00911","10/17/2014","10/18/2014","18:30","8:00","DAMAGE TO PROPERTY"
"3194","Non-Criminal Damage to Property","6054 S. Drexel ","Parking Structure","1/10/2017","16:11","A large trash container struck unoccupied vehicle parked in the parking structure shattering the driver's side window","Closed","17-00035","1/10/2017",NA,"6:30","16:00","DAMAGE TO PROPERTY"
"3195","Non-Criminal Damage to Property","6054 S. Drexel ","Parking Structure","1/17/2015","14:44","Passenger's side rear view mirror damaged on UC owned vehicle / Cause unknown","Closed","E00045","1/17/2015",NA,"2:00","14:30","DAMAGE TO PROPERTY"
"3196","Non-Criminal Damage to Property","5823 S. Kenwood ","Sunny Gym","9/14/2015","16:27","Two 6""x12"" window panes in gym shattered by a soccer ball / No injuries reported","Closed","E00559","9/14/2015",NA,"16:00",NA,"DAMAGE TO PROPERTY"
"3197","Non-Criminal Damage to Property","1414 E. 59th St. ","I-House Bike Rack","11/18/2014","15:17","Bicycle secured to bike rack sustained damage / Cause unknown","Closed","D01012","11/17/2014","11/18/2014","13:00","13:30","DAMAGE TO PROPERTY"
"3198","Non-Criminal Damage to Property","5701 S. University",NA,"11/26/2017","2:17","Key to UC owned vehicle broke","Closed","17-01072","11/26/2017",NA,"1:30",NA,"DAMAGE TO PROPERTY"
"3199","Non-Criminal Damage to Property","5815 S. Cottage Grove",NA,"6/13/2017","18:17","Debris from construction site fell on vehicle parked on the public way and cracked the windshield","Closed","17-00507","6/13/2017",NA,"12:30","17:00","DAMAGE TO PROPERTY"
"3200","Non-Criminal Damage to Property","1020 E. 58th St. ","Kent Lab","11/30/2017","15:10","Fire alarm triggered by faulty elevator machinery / CFD, Facilities, and UC EHS on scene / No fire, injuries, or other damage reported","Closed","17-01084","11/30/2017",NA,"15:10",NA,"DAMAGE TO PROPERTY"
"3201","Non-Criminal Damage to Property","1427 E. 60th St. ","Press Building","11/8/2014","17:00","Exterior window in Press Building damaged in unknown manner / UC Facilities on scene","Closed","D00981","11/8/2014",NA,"17:00",NA,"DAMAGE TO PROPERTY"
"3202","Non-Criminal Damage to Property","6054 S. Drexel ","Parking Structure","10/26/2014","20:06","Scratches observed on the front bumper of a University owned vehicle / Cause unknown","Closed","D00934","10/26/2014",NA,"18:45","20:00","DAMAGE TO PROPERTY"
"3203","Non-Criminal Damage to Property","5800 S. Stony Island ","Shapiro Hall","9/1/2015","12:27","A 58* x 58"" window damaged / Cause unknown at this time","Closed","E00537","8/21/2015","8/24/2015","13:00","9:00","DAMAGE TO PROPERTY"
"3204","Non-Criminal Damage to Property","850 E. 63rd St. ","Car Wash","2/9/2015","14:14","Side view mirror of UC owned vehicle damaged in car wash","Closed","E00104","2/9/2015",NA,"13:15",NA,"DAMAGE TO PROPERTY"
"3205","Non-Criminal Damage to Property","5720 S. Ellis ","Kirsten","2/7/2015","11:05","Water pipe line separated causing water leak through the roof into the building / CFD on scene and shut off water","Closed","E00099","2/7/2015",NA,"11:05",NA,"DAMAGE TO PROPERTY"
"3206","Non-Criminal Damage to Property","6054 S. Drexel",NA,"2/16/2015","9:43","Dents discovered on passenger door of UC owned vehicle / Cause unknown at this time","Closed","E00119","2/16/2015",NA,"7:45",NA,"DAMAGE TO PROPERTY"
"3207","Non-Criminal Damage to Property","5840 S. Maryland ","Parking Structure","10/21/2017","7:43","Roof of car struck over head pipe that had dislodged from ceiling brackets","Closed","17-00915","10/21/2017",NA,"6:20",NA,"DAMAGE TO PROPERTY"
"3208","Non-Criminal Damage to Property","935 E. 60th St.",NA,"12/5/2014","14:21","Truck backed into a post in the loading area.","Closed","D01048","12/5/2014",NA,"14:21",NA,"DAMAGE TO PROPERTY"
"3209","Non-Criminal Damage to Property","5840 S. Maryland ","Parking Structure","9/10/2014","10:40","Side view mirror of parked vehicle damaged / Cause unknown","Closed","D00791","9/10/2014",NA,"9:00","10:30","DAMAGE TO PROPERTY"
"3210","Non-Criminal Damage to Property","800 E. 55th St. ","Friend Center Parking Lot","7/13/2017","15:11","Individual reported a dent in the rear passenger side door of vehicle parked in the lot / Cause of damage unknown","Closed","17-00586","7/10/2017","7/13/2017","9:00","13:45","DAMAGE TO PROPERTY"
"3211","Non-Criminal Damage to Property","5840 S. Maryland ","Parking Structure","7/27/2016","10:54","Small pieces of concrete fell from the ceiling damaging the roof and hood of a vehicle / No injuries reported","Closed","16-00638","7/27/2016",NA,"10:54",NA,"DAMAGE TO PROPERTY"
"3212","Non-Criminal Damage to Property","1355 E. 53rd St.",NA,"12/22/2016","16:09","Department issued cell phone accidently damaged","Closed","16-01132","12/22/2016",NA,"15:15",NA,"DAMAGE TO PROPERTY"
"3213","Non-Criminal Damage to Property","970 E. 58th St.",NA,"11/10/2014","14:35","UC owned tractor struck and damaged a flower container","Closed","D00982","11/10/2014",NA,"14:00",NA,"DAMAGE TO PROPERTY"
"3214","Non-Criminal Damage to Property","915 E. 60th St. ","Logan Center","7/15/2015","10:44","Report of scratch marks on elevator wall / Cause unknown","Closed","E00444","7/14/2015","7/15/2015","9:00","10:40","DAMAGE TO PROPERTY"
"3215","Non-Criminal Damage to Property","1414 E. 59th St. ","I-House","11/6/2014","15:09","Window in door near loading dock was broken by unknown means","Closed","D00973","11/5/2014","11/6/2014","0:00","15:00","DAMAGE TO PROPERTY"
"3216","Non-Criminal Damage to Property","5812 S. Ellis",NA,"1/22/2015","9:18","Tree damaged by delivery truck","Closed","E00055","1/22/2015",NA,"9:00",NA,"DAMAGE TO PROPERTY"
"3217","Non-Criminal Damage to Property","970 E. 60th St.",NA,"5/30/2014","17:00","Park District riding lawn mower struck parked vehicle causing damage to right side","Closed","D00507","5/30/2014",NA,"16:55",NA,"DAMAGE TO PROPERTY"
"3218","Non-Criminal Damage to Property","5505 S. Ellis ","Parking Structure","1/13/2015","10:14","Roof of school bus damaged overhead sprinklers on ramp to lower level of the garage","Closed","E00031","1/13/2015",NA,"10:14",NA,"DAMAGE TO PROPERTY"
"3219","Non-Criminal Damage to Property","5643 S. Cottage Grove ","Facilities Services","5/2/2017","12:05","Gas pump fuel hose damaged","Closed","17-00349","4/24/2017","4/25/2017","15:00","5:00","DAMAGE TO PROPERTY"
"3220","Non-Criminal Damage to Property","5757 S. University ","Saieh Hall","8/12/2015","14:15","Interior glass door in lobby shattered as individual opened door / No injury reported","Closed","E00498","8/12/2015",NA,"14:05",NA,"DAMAGE TO PROPERTY"
"3221","Non-Criminal Damage to Property","5640 S. Ellis ","Eckhardt Research Center","3/15/2016","11:37","Individual caused damage to drywall in room#148 by prying hooks off of the wall and damaging the surface of the wall","Closed","16-00225","3/14/2016",NA,"12:00",NA,"DAMAGE TO PROPERTY"
"3222","Non-Criminal Damage to Property","5706 S. University ","Reynolds Club","1/17/2015","0:25","Entrance door window pane broken / Cause unknown","Closed","E00043","1/17/2015",NA,"0:20",NA,"DAMAGE TO PROPERTY"
"3223","Non-Criminal Damage to Property","5722 S. Maryland",NA,"3/15/2016","11:26","Owner noticed damage to bumper of car that may have been caused by another vehicle parking too close","Closed","16-00224","3/15/2016",NA,"11:15",NA,"DAMAGE TO PROPERTY"
"3224","Non-Criminal Damage to Property","1414 E. 59th St. ","Bike Rack","2/4/2015","15:08","Rear wheel of bicycle secured to bike rack was damaged / Possibly during snow removal operations","Closed","E00092","2/3/2015","2/4/2015","17:00","8:00","DAMAGE TO PROPERTY"
"3225","Non-Criminal Damage to Property","6054 S. Drexel",NA,"2/26/2015","7:30","Slight damage to bumper of UC owned vehicle was reported","Closed","E00142","2/26/2015",NA,"7:30",NA,"DAMAGE TO PROPERTY"
"3226","Non-Criminal Damage to Property","5656 S. Maryland ","Parking Structure","9/10/2015","21:49","Delivery truck struck an overhead air duct / No damage to vehicle or personal injury reported","Closed","E00551","9/10/2015",NA,"21:49",NA,"DAMAGE TO PROPERTY"
"3227","Non-Criminal Damage to Property","7800 S. Stony Island ","Public Way","2/5/2018","14:45","UC owned vehicle struck a pot hole in the street causing damage to tire and rim","Closed","18-00119","2/5/2018",NA,"6:45",NA,"DAMAGE TO PROPERTY"
"3228","Non-Criminal Damage to Property","5505 S. Ellis ","Parking Structure","4/22/2015","16:52","Access gate arm struck individual's car causing a scratch","Closed","E00258","4/22/2015",NA,"16:52",NA,"DAMAGE TO PROPERTY"
"3229","Non-Criminal Damage to Property","860 E. 59th St. ","Goldblatt","4/28/2015","9:07","Fire sprinkler head malfunctioned causing damage to ceiling tiles","Closed","E00269","4/28/2015",NA,"9:07",NA,"DAMAGE TO PROPERTY"
"3230","Non-Criminal Damage to Property","5801 S. Cottage Grove ","UC Service Garage","8/13/2016","15:42","UC owned vehicle struck fixed object resulting in minor damage to the vehicle","Closed","16-00687","8/13/2016",NA,"15:40",NA,"DAMAGE TO PROPERTY"
"3231","Non-Criminal Damage to Property","6300 S. Dorchester ","Parking Lot","12/18/2017","14:44","Vehicle owner reported scratches and dents on driver's side door / Cause unknown at this time","Closed","17-01137","11/29/2017",NA,"7:35","17:15","DAMAGE TO PROPERTY"
"3232","Non-Criminal Damage to Property","915 E. 60th St. ","Logan Center","2/19/2017","20:24","Desk broken after an unknown person put weight upon it","Closed","17-00143","2/19/2017",NA,"19:40",NA,"DAMAGE TO PROPERTY"
"3233","Non-Criminal Damage to Property","1414 E. 59th St. ","I-House","10/21/2017","19:32","Chicago Fire Dept. responding to a smoke alarm forced rear door of 8th floor apartment, damaging the door frame / Alarm triggered due to over-cooked food on the stove in apartment / No fire / No damage to apartment or other property in the building / No injuries reported","Closed","17-00919","10/21/2017",NA,"19:30",NA,"DAMAGE TO PROPERTY"
"3234","Non-Criminal Damage to Property","5700 S. Maryland ","CCD","6/22/2015","14:38","Inner pane of 18 ft. double pane window in 7th floor lobby shattered / No injuries reported / Cause unknown at this time","Closed","E00403","6/22/2015",NA,"14:15",NA,"DAMAGE TO PROPERTY"
"3235","Non-Criminal Damage to Property","5807 S. Woodlawn ","Booth School","3/10/2016","10:19","Marking observed on limestone fa<e7>ade consistent with power washing marking","Closed","16-00211","3/10/2016",NA,"7:00","9:20","DAMAGE TO PROPERTY"
"3236","Non-Criminal Damage to Property","5800 S. Ellis ","Pedestrian Plaza","9/13/2014","13:53","Flower planter broken / Cause unknown","Closed","D00798","9/12/2014","9/13/2014","16:00","13:30","DAMAGE TO PROPERTY"
"3237","Non-Criminal Damage to Property","933 E. 56th St. ","Public Way","12/14/2017","13:30","Owner of car parked at the curb found a garbage dumpster rolled into the vehicle causing a dent","Closed","17-01127","12/13/2017",NA,"6:10","17:50","DAMAGE TO PROPERTY"
"3238","Non-Criminal Damage to Property","6054 S. Drexel",NA,"3/11/2015","7:20","Minor damage noted on rear bumper of UC owned vehicle","Closed","E00175","3/11/2015",NA,"7:20",NA,"DAMAGE TO PROPERTY"
"3239","Non-Criminal Damage to Property","6054 S. Drexel",NA,"2/22/2015","8:48","Dent in passenger's side door of UC owned vehicle reported / Cause unknown","Closed","E00136","2/22/2015",NA,"7:35",NA,"DAMAGE TO PROPERTY"
"3240","Non-Criminal Damage to Property","850 E. 61st St. ","UCPD HQ","10/10/2016","16:25","Lens of body worn camera found to be damaged / Cause unknown","Closed","16-00875","10/9/2016",NA,"6:45","7:00","DAMAGE TO PROPERTY"
"3241","Non-Criminal Damage to Property","915 E. 60th St. ","Logan Center","9/25/2014","14:31","Window near loading dock broken / Cause unknown at this time","Closed","D00842","9/25/2014",NA,"7:00","14:15","DAMAGE TO PROPERTY"
"3242","Non-Criminal Damage to Property","5840 S. Maryland ","Parking Structure","4/1/2017","14:54","Owner reported a cracked driver's side window in a car parked on the 1st floor of the structure / Cause unknown at this time","Closed","17-00258","3/31/2017",NA,"7:30","16:30","DAMAGE TO PROPERTY"
"3243","Non-Criminal Damage to Property","5739 S. Woodlawn ","McGiffert Parking Lot","9/18/2017","12:32","Forklift backed into a parked, unattended car / No injuries reported","Closed","17-00776","9/18/2017",NA,"12:30",NA,"DAMAGE TO PROPERTY"
"3244","Non-Criminal Damage to Property","850 E. 61st St.",NA,"4/22/2017","15:19","Skid plate fell from bottom of UC owned vehicle / Cause unknown","Closed","17-00324","4/22/2017",NA,"15:19",NA,"DAMAGE TO PROPERTY"
"3245","Non-Criminal Damage to Vehicle","5617 S. Maryland ","Utility Plant","6/10/2015","8:15","Garage door opened damaging rear hatch of car parked in driveway","Closed","E00371","6/10/2015",NA,"8:14",NA,"DAMAGE TO PROPERTY"
"3246","Non-Criminal Damage to Vehicle","6054 S. Drexel",NA,"6/3/2014","11:26","Minor damage reported on UC owned vehicle","Closed","D00516","6/2/2014",NA,"9:25",NA,"DAMAGE TO PROPERTY"
"3247","Non-Criminal Damage to Vehicle","6054 S. Drexel",NA,"1/15/2014","16:24","Damage reported to undercarriage of UC owned vehicle","Closed","D00042","12/29/2013","12/30/2013",NA,NA,"DAMAGE TO PROPERTY"
"3248","Non-Criminal Damage to Vehicle","6054 S. Drexel",NA,"3/7/2016","9:22","Damage observed on bumper of University owned vehicle / Cause unknown","Closed","16-00204","3/7/2016",NA,"6:45",NA,"DAMAGE TO PROPERTY"
"3249","Non-Criminal Fire","1131 E. 57th St. ","Hutchinson Commons Basement","6/10/2015","21:39","Faulty electrical cord ignited books and papers in basement storage room 022 / CFD responded and extinguished fire / No injuries reported, minor property damage","Closed","E00375","6/10/2015",NA,"21:39",NA,"ALARM"
"3250","Non-Criminal Fire","929 E. 57th St. ","Gordon Center","5/20/2017","21:24","Small accidental fire caused by overheated sodium in Fume Hood Sand Unit in lab E547F / Nearby papers (no value) burned but were extinguished by use of fire extinguisher / CFD on scene","Closed","17-00407","5/20/2017",NA,"21:23",NA,"ALARM"
"3251","Non-Criminal Fire","1155 E. 55th St. ","Campus North RH 3rd floor kitchen","1/22/2018","11:35","Small accidental stove top grease fire was extinguished in 3rd floor kitchen by individual using a fire extinguisher / No injury or property damage reported / CFD responded","Closed","18-00078","1/21/2018",NA,"21:30",NA,"ALARM"
"3252","Non-Criminal Fire","5840 S. Maryland ","Parking Structure","6/24/2015","20:52","Fire in over-head electrical fixture on 3rd floor melted plastic fixture that fell onto the hood and quarter panel of a vehicle parked below / Fire extinguished by Public Safety Officer / Property damage only / No reported injuries","Closed","E00408","6/24/2015",NA,"20:50",NA,"ALARM"
"3253","Non-Criminal Other","5107 S. Blackstone ","Piccadilly Apts.","11/28/2015","12:44","UCPD officers responded to a call of a loud disturbance / Domestic disturbance / Peace restored","Closed","E00795","11/28/2015",NA,"12:44",NA,"DISTURBANCE"
"3254","Non-Criminal Property Damage","5640 S. Ellis ","Eckhardt Research Center","9/6/2016","6:24","Water overflowed from equipment in room 220 through the ceiling into room 110","Closed","16-00749","9/5/2016","9/6/2016","17:00","6:00","DAMAGE TO PROPERTY"
"3255","Non-Criminal Property Damage","1116 E. 59th St. ","Harper","4/7/2017","18:10","Staff member reports a key broke in lock while securing elevator / Facilities responded","Closed","17-00281","4/7/2017",NA,"18:00",NA,"DAMAGE TO PROPERTY"
"3256","Non-Criminal Property Damage","1150 E. 58th St. ","Saieh Hall","7/1/2016","12:52","The letter ""S"" in Saieh Hall sign on rear of building is damaged / Cause unknown","Closed","16-00556","7/1/2016",NA,"12:52",NA,"DAMAGE TO PROPERTY"
"3257","Non Criminal / Damage to Property","5739 S. Woodlawn ","McGiffert Parking Lot","7/18/2016","17:13","Owner observed an approximate 4 inch-long scratch on driver's side door of car parked in the parking lot","Closed","16-00606","7/18/2016",NA,"8:20","17:10","DAMAGE TO PROPERTY"
"3258","Non Criminal / Damage to Property","6031 S. Ellis ","Granville-Grossman RH","3/18/2015","9:34","Glass in office door shattered / Cause unknown","Closed","E00189","3/18/2015",NA,"3:00",NA,"DAMAGE TO PROPERTY"
"3259","Non Criminal / Damage to Property","5835 S. Greenwood ","Stuart Hall","6/11/2014","12:37","Handicap lift damaged due to overloading","Closed","D00555","4/4/2014","4/25/2014","11:55","15:10","DAMAGE TO PROPERTY"
"3260","Non Criminal / Damage to Vehicle","6054 S. Drexel",NA,"7/7/2016","7:43","Minor damage noticed on UC owned vehicle / Cause unknown at this time","Closed","16-00575","2/17/2016","6/14/2016","19:00","7:45","DAMAGE TO PROPERTY"
"3261","Non Criminal / Fire","900 E. 57th St. ","Knapp Center","7/17/2015","2:06","A vacuum pump in the north penthouse maintenance room malfunctioned and burned / no property other than the pump was damaged / No injuries / CFD responded","Closed","E00447","7/17/2015",NA,"2:05",NA,"ALARM"
"3262","Non Criminal Damage to Property","805 E. Midway Pl.",NA,"1/11/2017","13:41","Rear window of car parked on the street shattered / Cause unknown at this time","Closed","17-00036","1/11/2017",NA,"7:10","13:40","DAMAGE TO PROPERTY"
"3263","Non Criminal Damage to Property","5640 S. University ","Bartlett","8/24/2014","14:17","Damage reported to newly refinished kitchen area floor","Closed","D00760","8/23/2014","8/24/2014","11:30","9:00","DAMAGE TO PROPERTY"
"3264","Non Criminal Damage to Property","6300 S. Woodlawn",NA,"10/22/2017","17:35","Damage reported to passenger side  view mirror of UC owned vehicle / Cause unknown at this time","Closed","17-00920","10/22/2017",NA,"17:35",NA,"DAMAGE TO PROPERTY"
"3265","Obscene Phone Calls","5801 S. Ellis",NA,"2/12/2014","12:04","Victim reports receiving obscene phone calls at various times","Open","D00154","12/20/2013","2/12/2014","12:00","12:00","DISTURBANCE"
"3266","Obstructing a Peace Officer","4922 S. Cornell ","Alley","9/13/2015","0:23","UCPD officer arrested an individual for obstructing and resisting a peace officer","Arrest","E00556","9/13/2015",NA,"0:15",NA,"DISTURBANCE"
"3267","Obstructing Peace Officer","6000 S. Cottage Grove",NA,"2/1/2016","1:14","As a result of a disturbance on the street suspect arrested by UCPD for resisting and obstructing a peace officer and possession of cannabis / Also charged by CPD for domestic battery from a different location in the city / CPD case HZ136095","Arrest","16-00116","2/1/2016",NA,"1:14",NA,"DISTURBANCE"
"3268","Possession of Cannabis","5500 S. Greenwood",NA,"2/9/2014","19:45","Subsequent to a traffic violation UCPD officer arrested a motorist for possession of marijuana","Arrest","D00143","2/9/2014",NA,"19:45",NA,"NARCOTICS"
"3269","Possession of Cannabis","1407 E. 53rd St.",NA,"6/2/2014","21:24","Subsequent to a traffic stop, UCPD officers arrested a passenger for possession of cannabis","Arrest","D00513","6/2/2014",NA,"21:23",NA,"NARCOTICS"
"3270","Possession of Cannabis","3900 S. Lake Park",NA,"6/3/2014","22:27","Subsequent to a traffic stop UCPD officers arrested a motorist for possession of cannabis / Suspect also found in possession of property taken in a robbery in Bolingbrook, IL / Turned over to Bolingbrook PD","Arrest","D00519","6/3/2014",NA,"22:27",NA,"NARCOTICS"
"3271","Possession of Cannabis","Kimbark between 61st & 62nd",NA,"3/26/2017","17:27","UCPD officer arrested an individual for possession of cannabis","Arrest","17-00236","3/26/2017",NA,"17:27",NA,"NARCOTICS"
"3272","Possession of Cannabis","6200 S. Kimbark",NA,"7/11/2014","20:22","UCPD officers arrested a suspect for possession of marijuana and a companion for possession of lost or stolen property","Arrest","D00661","7/11/2014",NA,"20:20",NA,"NARCOTICS"
"3273","Possession of Cannabis","5500 S. Cottage Grove",NA,"8/21/2014","4:58","Pursuant to a traffic stop, UCPD officers arrested a motorist for possession of marijuana","Arrest","D00749","8/21/2014",NA,"4:58",NA,"NARCOTICS"
"3274","Possession of Cannabis","5200 S. Blackstone",NA,"4/4/2014","17:58","UCPD officers arrested a motorist for possession of cannabis and other related charges","Arrest","D00314","4/4/2014",NA,"17:19",NA,"NARCOTICS"
"3275","Possession of Cannabis","55th between Harper & Lake Park",NA,"3/15/2014","14:28","UCPD officers arrested a woman for possessing marijuana","Arrest","D00257","3/15/2014",NA,"14:28",NA,"NARCOTICS"
"3276","Possession of Cannabis","4800 S. Dorchester",NA,"1/18/2014","23:38","Subsequent to stopping a motorist for a traffic violation UCPD officers arrested a passenger in the vehicle for possession of cannabis","Arrest","D00058","1/18/2014",NA,"23:38",NA,"NARCOTICS"
"3277","Possession of Cannabis","4900 S. Drexel",NA,"5/16/2014","2:36","Subsequent to stopping a motorist for a traffic violation, UCPD officer arrested individual for possession of cannabis and driving with a suspended driver's license","Arrest","D00444","5/16/2014",NA,"2:36",NA,"NARCOTICS"
"3278","Possession of Cannabis","5100 S. Drexel",NA,"3/13/2014","22:28","While citing a traffic violator for driving with a suspended driver's license, UCPD officers found marijuana in his possession","Arrest","D00251","3/13/2014",NA,"22:28",NA,"NARCOTICS"
"3279","Possession of Cannabis","5302 S. Lake Park",NA,"1/8/2015","0:58","Subsequent to a traffic violation, UCPD officers arrested a motorist for possession of marijuana","Arrest","E00016","1/8/2015",NA,"0:58",NA,"NARCOTICS"
"3280","Possession of Cannabis","5500 S. Hyde Park",NA,"6/21/2014","0:55","Subsequent to a traffic stop, UCPD officers arrested a motorist for possession of cannabis","Arrest","D00592","6/21/2014",NA,"0:50",NA,"NARCOTICS"
"3281","Possession of Cannabis","5200 S. Harper ","Parking Lot","2/24/2014","20:02","UCPD officers arrested a male individual for possession of cannabis","Arrest","D00193","2/24/2014",NA,"20:02",NA,"NARCOTICS"
"3282","Possession of Cannabis","55th & Kimbark",NA,"9/25/2014","18:25","UCPD officers arrested a subject for possession of cannabis","Arrest","D00844","9/25/2014",NA,"18:25",NA,"NARCOTICS"
"3283","Possession of Cannabis","1355 E. 53rd St. ","Nichols Park","7/18/2014","23:28","UCPD officer arrested an individual for possession of marijuana","Arrest","D00674","7/18/2014",NA,"23:25",NA,"NARCOTICS"
"3284","Possession of Cannabis","935 E. 56th St. ","Construction Site","8/2/2014","23:40","Three individuals were found trespassing on the property / One suspect was arrested when found to have marijuana in his possession / Another underage suspect had consumed alcoholic beverages and was transported to ER for evaluation / Trespass warnings were issued","Arrest","D00712","8/2/2014",NA,"23:40",NA,"NARCOTICS"
"3285","Possession of Cannabis","5200 S. Ingleside",NA,"6/15/2014","1:26","UCPD officers arrested an individual for possession of cannabis","Arrest","D00568","6/15/2014",NA,"1:26",NA,"NARCOTICS"
"3286","Possession of Cannabis","Cornell between 53rd & 54th",NA,"4/10/2014","22:16","UCPD officers arrested a male for possession of cannabis","Arrest","D00338","4/10/2014",NA,"22:16",NA,"NARCOTICS"
"3287","Possession of Cannabis","5700 S. Stony Island ","Stony Island RH","11/19/2016","22:31","Four individuals were found in possession of six brownies containing cannabis / Brownies confiscated by UCPD for proper disposal","Referred","16-10140","11/19/2016",NA,"22:20",NA,"NARCOTICS"
"3288","Possession of Controlled Substance","4900 S. Lake Park",NA,"2/4/2014","1:01","Subsequent to a stop for a traffic violation, UCPD officer arrested a motorist for possession of a controlled substance","Arrest","D00114","2/4/2014",NA,"1:01",NA,"NARCOTICS"
"3289","Possession of Narcotics","5700 S. Maryland ","CCD","10/8/2014","20:33","UCPD officers arrested an individual for felony possession  of a controlled substance and possession of cannabis","Arrest","D00896","10/8/2014",NA,"20:10",NA,"NARCOTICS"
"3290","Possession of Narcotics","901 E. 58th St. ","Mitchell ER","7/21/2015","20:36","Staff member found a package of heroin in possession of critically ill patient while being admitted / Narcotics turned over to UCPD for disposal / No charges due to patient's medical condition","Closed","E00454","7/21/2015",NA,"20:36",NA,"NARCOTICS"
"3291","Possession of Narcotics","5627 S. Dorchester ","Public Way","1/2/2018","5:35","UCPD officers arrested a subject for possession of marijuana and possession of 17 checks, none in his name","Arrest","18-00002","1/2/2018",NA,"5:35",NA,"NARCOTICS"
"3292","Possession of Narcotics With Intent to Deliver","5400 S. Ingleside",NA,"7/16/2014","0:52","Subsequent to a stop for a traffic violation, UCPD officer arrested a motorist for felony possession of cocaine with intent to deliver and resisting arrest","Arrest","D00669","7/16/2014",NA,"0:52",NA,"NARCOTICS"
"3293","Public Indecency","5706 S. University ","Reynolds Club","4/2/2017","14:53","Suspect, not affiliated with the University, exposed himself to a person in the 2nd floor lounge in the Reynolds Club / Victim declined to prosecute / Suspect was issued a written trespass warning and escorted from the building","Ex. Cleared","17-00259","4/2/2017",NA,"14:50",NA,"DISTURBANCE"
"3294","Public Peace Violation","5917 S. Cottage Grove",NA,"2/3/2014","15:13","UCPD officer arrested a man standing in the middle of the roadway, panhandling, disrupting traffic and creating a hazardous situation","Arrest","D00111","2/3/2014",NA,"15:13",NA,"DISTURBANCE"
"3295","Public Peace Violation / Bomb Threat","5700 S. Maryland ","CCD","11/25/2017","9:11","During a series of harassing phone calls, suspect uttered a bomb threat","Open","17-01067","11/25/2017",NA,"9:00",NA,"DISTURBANCE"
"3296","Reckless Conduct","53rd & Ingleside",NA,"9/25/2014","20:18","UCPD officers arrested a motorist after he struck another vehicle and fled on foot","Arrest","D00845","9/25/2014",NA,"20:18",NA,"DISTURBANCE"
"3297","Recovered Motor Vehicle","47th & Evans",NA,"6/12/2014","1:53","Subsequent to a traffic violation, UCPD officer arrested a motorist for possession of a motor vehicle reported stolen in Elgin, IL","Arrest","D00556","6/12/2014",NA,"1:53",NA,"OTHER"
"3298","Recovered Motor Vehicle","5620 S. Drexel ","Alley","10/16/2017","23:17","UCPD officer was notified by in-car license plate reader of a stolen vehicle / Vehicle was unoccupied and parked in the alley / Reported stolen in Cicero, IL / Cicero police notified","Closed","17-00893","10/16/2017",NA,"23:17",NA,"OTHER"
"3299","Recovered Motor Vehicle","6140 S. Drexel",NA,"4/13/2017","9:53","UCPD officer on patrol was alerted by in-car license plate reader of an unoccupied, parked vehicle reported taken in a robbery outside of UCPD area / Vehicle turned over to CPD / CPD case JA219845","CPD","17-00291","4/13/2017",NA,NA,NA,"OTHER"
"3300","Recovered Motor Vehicle","47th & Woodlawn",NA,"7/28/2015","20:08","UCPD officer observed car reported stolen to Chicago police in possession of suspect in gas station / Suspect fled on foot but was apprehended by UCPD officers after a foot chase / Suspect charged with felony possession of stolen motor vehicle / CPD HY359046","Arrest","E00471","7/28/2015",NA,"20:08",NA,"OTHER"
"3301","Recovered Motor Vehicle","5840 S. Maryland ","Parking Structure","9/12/2016","9:33","UCPD officer recovered an unoccupied, secured vehicle parked on the 2nd level of the parking structure / Vehicle previously reported stolen to CPD / CPD case HZ232398","CPD","16-00770","9/12/2016",NA,"9:33",NA,"OTHER"
"3302","Recovered Motor Vehicle","1606 E. 55th St.",NA,"10/13/2017","22:11","UCPD officer recovered an unoccupied stolen vehicle parked at the curb off campus / Officer notified by in-car license plate reader  / Bellwood, IL PD notified","Closed","17-00880","10/13/2017",NA,"22:11",NA,"OTHER"
"3303","Recovered Motor Vehicle","1351 E. 56th St.",NA,"8/15/2016","13:47","UCPD officer recovered an unoccupied parked vehicle off-campus that had previously been reported stolen to Chicago Police / CPD case","CPD","16-00689","8/15/2016",NA,"13:47",NA,"OTHER"
