"","Incident","Location","Reported","Occurred","Comments / Nature of Fire","Disposition","UCPDI#"
"4403","Information / Suspicious Phone Calls","5807 S. Woodlawn (Booth School)","8/4/17 10:41 AM","12/24/14 to 8/3/17 various","Report of suspicious phone messages","Open","17-00644"
"4404","Found Property","850 E. 61st St. (UCPD HQ)","8/4/17 12:39 PM","8/4/17 12:39 PM","Credit card found and turned over to UCPD for safekeeping","Closed","17-00645"
"4405","Theft","915 E. 60th St. (Logan Center Bike Rack)","8/4/17 2:21 PM","8/4/17 9:40 AM to 2:10 PM","Secured bicycle taken from bike rack / As a result of follow-up investigation, a suspect was positively identified, but the victim declined to prosecute","Ex. Cleared","17-00646"
"4406","Information","850 E. 61st St. (UCPD HQ)","8/4/17 3:15 PM","10/19/16 to 7/12/17 7:40 AM to 4:55 PM","Report of missing UC property","Closed","17-00647"
"4407","Information / Criminal Damage to Property","6014 S. Stony Island (Public Way)","8/4/17 4:49 PM","8/4/17 4:48 PM","Unknown person(s) fired a weapon and struck an unoccupied vehicle parked on the street / CPD case JA377198","CPD","17-00648"
"4408","Theft","5800 S. Dorchester (Public Way)","8/4/17 9:16 PM","8/4/17 9:00 PM","Known suspect took money owed to him from victim standing on the sidewalk / No force or threats used","Open","17-00649"
"4409","Void","Void","Void","Void","Number generated in error","Void","17-00650"
"4410",":","","","","","",""
"4411","Assist Other Agency / Battery","5120 S. Cornell (Public Way)","8/5/17 8:51 PM","8/5/17 8:51 PM","Two suspects struck victim with fists during a disagreement on the public way off campus / Two suspects detained by UCPD and turned over to CPD officers / CPD case JA378896","CPD / Arrest","17-00651"
"4412",":","","","","","",""
"4413","Information / Recovered Vehicle","5645 S. Harper (Public Way)","8/6/17 12:22 PM","8/6/17 12:22 PM","UCPD officer recovered a parked, unoccupied vehicle that had been reported stolen to CPD / CPD case JA378133","CPD","17-00652"
"4414",":","","","","","",""
"4415","Information","901 E. 58th St. (Mitchell ER)","8/7/17 10:55 AM","8/7/17 10:10 AM","Information regarding a suspicious phone call received by a staff member","Closed","17-00653"
"4416","Theft","5758 S. Maryland (DCAM)","8/7/17 10:15 AM","8/7/17 10:00 AM","Subject was seen taking and concealing items of food while in the cafeteria / Left the caf<e9> without paying and was placed under arrest for retail theft","Arrest","17-00654"
"4417","Theft","5758 S. Maryland (DCAM)","8/7/17 2:58 PM","8/7/17 2:55 PM","Two individuals walked out of cafeteria with food items without paying / Suspects detained, but complainant refused to sign complaints","Ex. Cleared","17-00655"
"4418","Criminal Trespass to Land","5630 S. University (Max Palevsky RH Bike Racks)","8/7/17 10:05 PM","8/7/17 10:05 PM","Individual observed checking locks on bikes at bike rack had previously received oral and written notice not to trespass on UC property / Arrested by UCPD for trespass","Arrest","17-00656"
"4419",":","","","","","",""
"4420","Burglary","5482 S. Greenwood (UC Neighborhood Res. Property)","8/8/17 9:28 AM","8/7/17 3:00 PM","Unknown subject gained unlawful entry to the residential building and took a bicycle that was secured to a bike rack in the laundry room","Open","17-00657"
"4421","Information","1115 E. 58th St. (Walker)","8/8/17 9:55 AM","7/30/17 12:01 AM to 6:30 AM","Report of suspicious email","Closed","17-00658"
"4422","Found Property","920 E. 58th St. (Cummings)","8/8/17 12:31 PM","8/8/17 12:30 PM","Individual found a wallet in the hallway and turned it over to UCPD for safekeeping","Closed","17-00659"
"4423",":","","","","","",""
"4424","Found Property","5700 S. Maryland (CCD)","8/9/17 9:54 AM","8/9/17 9:54 AM","Staff member found a small baggie containing narcotics in a patient's room / Turned over to UCPD for proper disposal","Closed","17-00660"
"4425","Criminal Damage to Property","5840 S. Maryland (Parking Structure)","8/9/17 12:55 PM","8/9/17 10:25 AM to 1:00 PM","Unknown person keyed the driver's side and passenger's side doors of a vehicle parked on the 3rd level of the structure","Open","17-00661"
"4426","Void","Void","Void","Void","Number generated in error","Void","17-00662"
"4427","Assist Other Agency","1554 E. 55th St.","8/9/17 2:00 PM","8/9/17 1:55 PM","UCPD officer detained a subject wanted for retail theft by CPD / Turned over to CPD / CPD case JA384153","CPD / Arrest","17-00663"
"4428","Theft","970 E. 58th St. (Bookstore Bike Rack)","8/9/17 7:25 PM","8/9/17 4:15 PM to 7:20 PM","Secured bicycle taken from bike rack / As a result of follow-up investigation, the suspect was positively identified, but the victim refused to prosecute","Ex. Cleared","17-00664"
"4429",":","","","","","",""
"4430","Traffic Crash","910 E. 58th St.","8/10/17 6:53 AM","8/10/17 6:50 AM","UC owned vehicle involved in minor property damage accident  No injuries reported / 2017-MVA00140","Closed","17-00665"
"4431","Void","Void","Void","Void","Number generated in error","Void","17-00666"
"4432",":","","","","","",""
"4433","Sexual Assault / Fondling","5811 S. Ellis (Cobb Hall)","8/11/17 11:17 AM","8/9/17 unknown time","DSS was notified by a Campus Security Authority that undisclosed victims reported they were fondled by a known person in Cobb Hall / Due to confidentiality of reporting limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report   17-023"
"4434","Information / Robbery","6344 S. Greenwood (Public Way)","8/11/17 9:31 PM","8/11/17 9:15 PM","A group of six juveniles forcibly took two bags from a victim walking on the sidewalk off campus / Victim declined medical aid / CPD case JA387494","CPD","17-00667"
"4435",":","","","","","",""
"4436","Information","Blackstone between 53rd & 54th","8/12/17 1:02 PM","8/12/17 12:30 PM","Report of a suspicious phone call","Closed","17-00668"
"4437",":","","","","","",""
"4438","No Incident Reports this date - 8/13/17","No Incident Reports this date - 8/13/17","No Incident Reports this date - 8/13/17","No Incident Reports this date - 8/13/17","No Incident Reports this date - 8/13/17","No Incident Reports this date - 8/13/17","No Incident Reports this date - 8/13/17"
"4439",":","","","","","",""
"4440","Theft from Motor Vehicle","1442 E. 59th St.","8/14/17 4:13 AM","8/14/17 3:10 AM to 4:00 AM","Tools taken from unsecured work van parked on the street","Open","17-00669"
"4441","Battery","5700 S. Maryland (CCD)","8/14/17 12:07 PM","8/14/17 11:00 AM","Disorderly patient intentionally spit on staff member during treatment / Suspect left hospital before police were notified / Suspect arrested by UCPD on 8/19/17","Arrest","17-00670"
"4442","Found Property","850 E. 61st St. (UCPD HQ)","8/14/17 8:54 AM","8/12/17 5:00 PM","Bank debit card found on First Transit shuttle bus turned over to UCPD for safekeeping","Closed","17-00671"
"4443",":","","","","","",""
"4444","Information","850 E. 61st St. (UCPD HQ)","8/15/17 2:15 PM","5/27/17 to 8/15/17 Various","Information regarding disturbing postings on social media site","Open","17-00672"
"4445","Found Property","5550 S. Shore Dr.","8/15/17 9:11 PM","8/13/17 12:00 PM","Various items reported missing by another law enforcement agency were found and turned over to UCPD for safekeeping / Agency notified","Closed","17-00673"
"4446",":","","","","","",""
"4447","Battery","5700 S. Maryland (CCD)","8/16/17 12:37 PM","8/16/17 12:30 PM","Visitor struck staff member with his hands / Taken into custody by UCPD","Arrest","17-00674"
"4448","Information / Burglary","Kimbark between 51st & 52nd","8/16/17 6:18 PM","8/15/17 9:00 AM to 3:05 PM","Unknown person(s) forced entry to off campus private apartment and took property / CPD case JA392253","CPD","17-00675"
"4449","Medical Call","929 E. 57th St. (Gordon Center)","8/16/17 8:08 PM","8/16/17 8:05 PM","Due to chemical reaction, substance splashed into individual's eyes / Subject transported to ER by CFD EMS for evaluation and treatment","Closed","17-00676"
"4450","Theft","Maryland between 56th & 57th","8/16/17 11:16 PM","8/1/17 to 8/14/17 12:00 AM to 12:00 AM","Various items taken from apartment by two individuals that sublet the apartment from the victim","Open","17-00677"
"4451",":","","","","","",""
"4452","Theft from Motor Vehicle","5858 S. Dorchester (Public Way)","8/17/17 4:18 AM","8/17/17 4:15 AM","Unknown person smashed passenger's side window of a car parked on the street and took a purse","Open","17-00678"
"4453","Information / Armed Robbery","1003 E. 62nd St. (Public Way)","8/17/17 1:02 PM","8/17/17 12:45 PM","Unknown suspect, armed with a handgun, took a wallet and GPS device from a person standing on the street off campus / Victim reported no injuries / CPD case JA394887","CPD","17-00679"
"4454","Theft","55th St. between Greenwood and University","8/17/17 1:07 PM","8/17/17 12:40 PM to 12:45 PM","Unknown person took a wallet and iPhone from a purse left unsecured and unattended in the rear room in a retail establishment","Open","17-00680"
"4455","Theft from Motor Vehicle","1100 E. 58th St.","8/17/17 2:13 PM","8/17/17 1:00 PM to 2:00 PM","Tools taken from an unsecured tool box in the rear of an unattended truck","Open","17-00681"
"4456","Lost Property","5700 S. Maryland (CCD)","8/17/17 10:06 PM","8/17/17 8:45 PM to 9:30 PM","Patient reports losing two rings","Closed","17-00682"
"4457",":","","","","","",""
"4458","Robbery","1466 E. 56th St. (Alley)","8/18/17 1:33 AM","8/18/17 1:30 AM","Three subjects forcibly took headphones from an individual walking in the alley off campus / UCPD officers located suspects who were positively identified by the victim and had possession of the headphones / Victim refused to prosecute suspects","Ex. Cleared","17-00683"
"4459","Found Property","1414 E. 59th St. (Public Way)","8/18/17 2:35 PM","8/18/17 2:15 PM","Individual found two keys on the sidewalk and turned them over to UCPD for safekeeping","Closed","17-00684"
"4460","Injured Person","5835 S. Kimbark (Parking Lot)","8/18/17 9:59 PM","8/18/17 9:59 PM","Individual fell off bicycle and lacerated chin after riding over speed bump in parking lot / Transported to ER by CFD EMS for evaluation and treatment","Closed","17-00685"
"4461",":","","","","","",""
"4462","Theft","5700 S. Maryland (CCD)","8/19/17 6:58 AM","8/19/17 6:35 AM","Unsecured, unattended bicycle taken by unknown subject","Open","17-00686"
"4463","Information / Aggravated Battery","939 E. 45th St. (Public Way)","8/19/17 12:47 PM","8/19/17 12:40 PM","Individual standing on the sidewalk off campus suffered a gunshot wound to the right thigh as a result of a drive-by shooting / Victim transported to hospital by CFD EMS / CPD case JA397691","CPD","17-00687"
"4464","Theft","5801 S. Dorchester (Public Way)","8/19/17 2:31 PM","7/1/17 to 7/31/17 Unknown time","Bicycle secured to a pole on the sidewalk was taken by unknown person","Open","17-00688"
"4465","Information / Burglary","Ellis between 61st & 62nd","8/19/17 4:28 PM","8/19/17 3:30 PM","Unknown suspects forced rear door of off campus private apartment / Suspects fled when confronted by resident / CPD case JA397969","CPD","17-00689"
"4466","Aggravated Battery","1212 E. 59th St. (Public Way)","8/19/17 8:28 PM","8/19/17 8:25 PM","An individual became involved in an altercation while attending a festival / Several subjects struck victim with fists, one suspect struck victim on head with a bottle causing laceration / Victim transported to ER by CFD EMS, but declined treatment","Open","17-00690"
"4467",":","","","","","",""
"4468","Information / Aggravated Robbery","5414 S. Greenwood (Public Way)","8/20/17 10:19 AM","8/20/17 at 10:15 AM","An individual exiting a vehicle off campus was approached by two unknown suspects, one implied a weapon under his shirt - no weapon seen / The suspects announced a robbery and the victim handed over cash to the suspects who fled southbound on foot / The victim reported no physical injuries CPD case JA398845","CPD","17-00691"
"4469","Information /  Attempt Robbery","1212 E. 54th St. (Public Way)","8/20/17 2:03 PM","8/20/17 1:45 PM","An individual walking on the sidewalk off campus at approximately 1212 E. 54th St. was approached by an unknown individual who demanded her cell phone / When the victim refused, the suspect pulled her hair and fled eastbound on 54th Street without taking any property / The victim reported no physical injuries / CPD case JA399134","CPD","17-00692"
"4470","Found Property","5100 S. Woodlawn (Public Way)","8/20/17 4:49 PM","8/20/17 4:49 PM","Individual found a wallet on the sidewalk and turned it over to UCPD for safekeeping","Closed","17-00693"
"4471","Information / Theft","901 E. 58th St. (Mitchell ER)","8/20/17 5:13 PM","8/20/17 4:00 PM to 4:30 PM","Unknown person took patient's cell phone from bed while he was asleep / CPD case","CPD","17-00694"
"4472","Information / Robbery","5201 S. University (Public Way)","8/20/17 8:11 PM","8/20/17 8:05 PM","Victim walking on the sidewalk off campus was approached by an unknown suspect who sprayed victim with a chemical substance and took victim's cellphone before fleeing to a waiting white vehicle / CPD case JA399543","CPD","17-00695"
"4473",":","","","","","",""
"4474","Mental Health Transport","901 E. 58th St. (Mitchell Emergency Room)","8/21/17 2:51 AM","8/21/17 2:51 AM","Individual transported to the hospital for evaluation and treatment","Closed","17-00696"
"4475","Theft","1100 E. 58th St. (Construction Site)","8/21/17 8:31 AM","8/18/17 to 8/21/17 3:00 PM to 8:00 AM","Plate compactor taken from construction area by unknown person(s)","Open","17-00697"
"4476","Information / Burglary","54th Pl. between Greenwood & University","8/21/17 8:52 AM","8/19/17 to 8/21/17 5:00 PM to 7:30 AM","Unknown person(s) gained entry to off campus apartment building by forcing front door / CPD case JA399904","CPD","17-00698"
"4477","Injured Person","5823 S. Kenwood (Sunny Gym)","8/21/17 12:00 PM","8/21/17 11:55 AM","Individual injured ankle playing volley ball / Transported to ER by CFD EMS for evaluation and treatment","Closed","17-00699"
"4478","Theft","800 E. 55th St. (Friend Center)","8/21/17 2:13 PM","8/21/17 12:35 PM to 12:40 PM","Cash taken from unattended phone case left in washroom","Open","17-00700"
"4479",":","","","","","",""
"4480","Found Property","5850 S. Woodlawn (Rockefeller Chapel)","8/22/17 10:55 AM","8/21/17 12:30 PM","Individual found a set of 12 keys on a ring outside of the chapel / Turned over to UCPD for safekeeping","Closed","17-00701"
"4481","Criminal Trespass to Land","1116 E. 59th St. (Harper Library)","8/22/17 1:34 PM","8/22/17 1:34 PM","Individual soliciting funds had received prior verbal and written notice to not trespass on University property / Arrested and charged with criminal trespass and resisting arrest","Arrest","17-00702"
"4482",":","","","","","",""
"4483","Theft from Motor Vehicle","968 E. 60th St.","8/23/17 3:14 AM","8/23/17 3:14 AM","UCPD officer arrested a suspect who was observed taking property from a car parked on the street / Charged with burglary","Arrest","17-00703"
"4484","Information / Robbery","1029 E. 49th St. (Public Way)","8/23/17 7:23 PM","8/23/17 7:10 PM","Two unknown suspects forcibly took property from two victims on the street  off campus / UCPD officer located and detained one suspect who was positively identified by the victims and had possession of victim's property / Turned over to CPD and taken into custody / CPD case JA403523","CPD / Arrest","17-00704"
"4485","Traffic Crash","5211 S. Woodlawn","8/23/17 10:28 PM","8/23/17 10:10 PM","UC owned bicycle involved in traffic crash with motor vehicle / Minor property damage, no injuries reported / 17-MVA-00148","Closed","17-00705"
"4486",":","","","","","",""
"4487","Assault","1362 E. 59th St. (Lab School)","8/24/17 7:27 AM","8/23/17 3:25 PM","During an argument among co-workers, one individual threatened another with bodily harm / Suspect arrested on 8/28/17 and charged with assault","Arrest","17-00706"
"4488","Lost Property","860 E. 59th St. (Goldblatt)","8/24/17 7:57 AM","7/31/17 to 8/24/17 3:30 PM to 7:55 AM","Box containing medical equipment reported missing","Open","17-00707"
"4489","Burglary","Greenwood between 51st & 52nd","8/24/17 11:29 AM","8/24/17 11:20 AM","Subject gained unlawful entry into off campus private apartment building and took a bicycle and a package before fleeing / Suspect located and arrested by UCPD officers / Charged with burglary and possession of burglary tools","Arrest","17-00708"
"4490",":","","","","","",""
"4491","Medical Call","Hyde Park between Kimbark & Kenwood","8/25/17 1:31 AM","8/25/17 1:31 AM","Ill person transported to the hospital by CFD EMS for evaluation and treatment","Closed","17-00709"
"4492","Information / Burglary","Kimbark between 57th & 58th","8/25/17 9:58 AM","8/24/17 to 8/25/17 10:30 PM to 8:00 AM","Unknown person(s) took 3 bicycles from a residential garage off campus/ CPD case","CPD","17-00710"
"4493","Criminal Damage to Vehicle","6000 S. Drexel (Alley)","8/25/17 1:39 PM","8/25/17 1:35 PM","Known individual was observed breaking windows in car parked in the alley / Suspect fled before police were notified / Victim informed UCPD investigator that she did not want to prosecute the known suspect","Ex. Cleared","17-00711"
"4494","Theft","5730 S. Drexel (Comer Hospital)","8/25/17 3:52 PM","8/25/17 12:55 PM to 3:15 PM","Tools taken from unsecured storage cabinet in hallway / Tools were located and returned to the owner / No crime occurred","Unfounded","17-00712"
"4495","Theft","924 E. 57th St. (BSLC Bike Rack)","8/25/17 5:52 PM","8/25/17 12:00 PM to 5:30 PM","Front wheel taken from bicycle secured to bike rack","Open","17-00713"
"4496","Theft","5640 S. Ellis (Eckhardt RC Bike Rack)","8/25/17 8:38 PM","8/25/17 12:00 PM to 8:00 PM","Secured bicycle taken from bike rack","Open","17-00714"
"4497","Information / Robbery","Woodlawn between 54th & 55th (Public Way)","8/25/17 10:59 PM","8/25/17 10:45 PM","Unknown suspect forcibly took purse from an individual walking on the sidewalk off campus / CPD case JA406434","CPD","17-00715"
"4498",":","","","","","",""
"4499","Information","6031 S. Ellis (Granville Grossman RH)","8/26/17 5:30 PM","8/25/17 8:35 PM","Information regarding a social media posting","Closed","17-00716"
"4500",":","","","","","",""
"4501","Criminal Trespass to Land","5812 S. Ellis (Surgery Brain Research Bike Rack)","8/27/17 6:05 AM","8/27/17 6:05 AM","Unauthorized individual seen loitering around bicycle rack warned not to trespass on University property","Closed","17-00717"
"4502",":","","","","","",""
"4503","Void","Void","Void","Void","Number generated in error","Void","17-00718"
"4504","Information","5706 S. University (Reynolds Club)","8/28/17 11:00 AM","8/28/17 11:00 AM","Strong odor of natural gas detected / CFD & Peoples Gas responded / Odor due to 2 pilot lights out in kitchen stove","Closed","17-00719"
"4505","Violation of Order of Protection","5700 S. Maryland (CCD)","8/28/17 8:33 PM","8/28/17 8:00 PM","Individual violated order of protection / Fled before police were contacted / Suspect taken into custody by UCPD Investigators on 9/7/17","Arrest","17-00720"
"4506",":","","","","","",""
"4507","Lost Property","1100 E. 57th St. to 5050 S. Lake Shore","8/29/17 12:23 AM","8/28/17 9:30 PM to 9:50 PM","Individual reports losing iPhone between 1100 E. 57th St. and 51st & Lake Shore Dr.","Closed","17-00721"
"4508","Void","Void","Void","Void","Number generated in error","Void","17-00722"
"4509","Criminal Trespass to Land","5815 S. Maryland (Mitchell Hospital)","8/29/17 11:47 AM","8/29/17 11:47 AM","Unauthorized individual ignored repeated warnings of trespass and refused to leave / Arrested by UCPD","Arrest","17-00723"
"4510",":","","","","","",""
"4511","Theft","6060 S. Woodlawn (Public Way)","8/30/17 9:25 AM","8/30/17 9:05 AM to 9:20 AM","Unattended, unsecured gas powered Stihl weed trimmer taken by an unknown person","Open","17-00724"
"4512","Theft","5617 S. Maryland (Parking Lot)","8/30/17 9:17 AM","8/28/17 to 8/30/17 3:00 PM to 7:00 AM","Pressure washer and power saw taken by unknown person(s)","Open","17-00725"
"4513","Stalking","929 E. 57th St. (Gordon Center)","8/30/17 4:28 PM","4/1/17 Unknown time","DSS notified by a Campus Security Authority that undisclosed victim reported being stalked by an ex-boyfriend at the Gordon Center and other locations on campus / Due to confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report     17-024"
"4514","Information / Criminal Damage to Property","826 E. 44th St. (Public Way)","8/30/17 6:49 PM","8/30/17 6:49 PM","CPD and UCPD officers responded to calls of shots fired / Observed damage to a vehicle parked on the street / No injuries reported / CPD case JA412453","CPD","17-00726"
"4515",":","","","","","",""
"4516","Void","Void","Void","Void","Number generated in error","Void","17-00727"
"4517","Void","Void","Void","Void","Number generated in error","Void","17-00728"
"4518","Found Property","936 E. 54th St. (Kozminski School)","8/31/17 3:42 PM","8/31/17 3:30 PM","Individual found a Toyota key and key fob hanging on a fence / Turned over to UCPD for safekeeping","Closed","17-00729"
"4519","Information / Armed Robbery","4921 S. Ellis (Public Way)","8/31/17 8:09 PM","8/31/17 8:05 PM","While sitting in a vehicle parked off campus, an acquaintance, armed with a handgun, took a purse from a victim / CPD case JA413899","CPD","17-00730"
"4520",":","","","","","",""
"4521","Recovered Motor Vehicle","5343 S. Ellis","9/1/17 9:37 AM","9/1/17 9:37 AM","UCPD officer recovered an unoccupied, parked vehicle that had been reported stolen to CPD / CPD case JA408671","Closed","17-00731"
"4522","Information","5812 S. Ellis (Surgery Brain Research)","9/1/17 12:38 PM","8/31/17 to 9/1/17 4:00 PM to 11:45 AM","Individual received a disturbing note","Closed","17-00732"
"4523",":","","","","","",""
"4524","Information","901 E. 58th St. (Mitchell ER)","9/2/17 9:10 AM","9/2/17 8:35 AM","Staff member was scratched on the head while trying to restrain a patient","Closed","17-00733"
"4525",":","","","","","",""
"4526","Information","5821 S. Drexel (Peck Pavilion)","9/3/17 7:14 AM","9/3/17 9:00 AM","Staff members observed mist in room N661 / CFD and Safety responded / Determined mist was steam from a defective pipe / No hazardous material","Closed","17-00734"
"4527","Assist Other Agency","1449 E. 57th St.","9/3/17 3:01 PM","9/3/17 2:55 PM","Three teenaged suspects created a disturbance in a retail store off campus before fleeing on bicycles / UCPD officers located and detained two suspects who were turned over to CPD / Charged with assault and battery / CPD case","CPD / Arrest","17-00735"
"4528",":","","","","","",""
"4529","Battery / Domestic","5700 S. Maryland (CCD)","9/4/17 9:43 AM","9/4/17 9:30 AM","Two visitors struck each other with fists during a domestic argument / Prosecution declined","Ex. Cleared","17-00736"
"4530",":","","","","","",""
"4531","Information","Cottage Grove between 53rd & 54th","9/5/17 2:13 AM","9/5/17 2:13 AM","Individual suffering an apparent heart attack transported to ER by CFD EMS","Closed","17-00737"
"4532","Burglary","1118 E. 58th St. (Eckhart Hall)","9/5/17 2:35 PM","9/4/17 to 9/5/17 8:20 PM to 12:30 PM","Unknown person(s) gained entry to office room 017 by forcing metal window grate / Computer power cord taken from desk","Open","17-00738"
"4533","Traffic Crash","4859 S. Cottage Grove","9/5/17 3:28 PM","9/5/17 2:50 PM","3 UC owned vehicles damaged in minor traffic crash / No injuries reported / 2017MVA-00153","Closed","17-00739"
"4534","Assist Other Agency","5254 S. Dorchester (Public Way)","9/5/17 2:12 PM","9/5/17 2:10 PM","Suspect seen firing a handgun off campus, damaging a parked vehicle before fleeing in a vehicle / UCPD officer detained suspect at 49th & Cottage Grove / Suspect identified by witness and arrested by CPD / CPD officers recovered handgun / CPD case JA419789","CPD / Arrest","17-00740"
"4535","Medical Call","850 E. 61st St. (UCPD HQ)","9/5/17 4:46 PM","9/5/17 4:46 PM","Individual  became ill / CFD EMS examined individual and referred to personal physician for follow up","Closed","17-00741"
"4536",":","","","","","",""
"4537","Theft","5721 S. Maryland","9/6/17 1:07 PM","9/6/17 10:00 AM to 12:50 PM","Wallet taken from unattended, unsecured book bag left in the rear seat of a valet parked vehicle","Open","17-00742"
"4538",":","","","","","",""
"4539","Information / Theft from Person","5548 S. Hyde Park (Public Way)","9/7/17 8:24 AM","9/7/17 7:55 AM","Unknown subject took cell phone from the hand of a person standing on the sidewalk off campus before fleeing to a waiting vehicle / CPD case","CPD","17-00743"
"4540","Battery","1379 E. 53rd St. (Public Way)","9/7/17 8:15 PM","9/7/17 8:10 PM","Security officer attempting to quell a fight on the street off campus was intentionally punched on the shoulder by subject / Suspect arrested by UCPD and charged with felony battery","Arrest","17-00744"
"4541","Criminal Damage to Property","5700 S. Maryland (CCD)","9/7/17 11:34 PM","9/7/17 8:45 PM","Disturbed individual observed hitting computer keyboard with his fist, breaking the keyboard / Prosecution declined","Ex. Cleared","17-00745"
"4542",":","","","","","",""
"4543","Void","Void","Void","Void","Number generated in error","Void","17-00746"
"4544","Information / Armed Robbery","4612 S. Woodlawn (Public Way)","9/8/17 1:15 PM","9/8/17 1:10 PM","Unknown suspect, armed with a handgun, took a wallet and cell phone from a victim on the street off campus / Suspect fled in a black, 4-door, late model Chevrolet with a possible partial Arizona license plate containing the digits 13246 / CPD case JA423489","CPD","17-00747"
"4545",":","","","","","",""
"4546","Information / Aggravated Battery","820 E. 46th St. (Public Way)","9/9/17 1:45 PM","9/9/17 1:45 PM","Victim exiting vehicle parked on the street off campus suffered gunshot wounds to the hip and torso after an unknown person fired shots from a passing black Infiniti that went westbound on 46th St. / Victim transported to the hospital by CFD EMS / CPD case JA424787","CPD","17-00748"
"4547",":","","","","","",""
"4548","Battery","901 E. 58th St. (Mitchell ER)","9/10/17 6:07 AM","9/10/17 5:55 AM","Subject struck a staff member and made threats to a second staff member placing him in fear of receiving bodily harm","Arrest","17-00749"
"4549","Criminal Damage to Property","5530 S. Ellis (Ratner A.C.)","9/10/17 1:10 PM","9/9/17 to 9/10/17 6:00 PM to 8:00 AM","Unknown person damaged lock on locker in secured locker room / Nothing missing from locker","Open","17-00750"
"4550","Information / Armed Robbery","831 E. 46th St. (Rear Parking Lot)","9/10/17 10:43 PM","9/10/17 9:30 PM","Unknown suspect, armed with a handgun, forcibly took cash from a victim in a parking lot off campus / CPD case JA426431","CPD","17-00751"
"4551",":","","","","","",""
"4552","Theft","860 E. 59th St. (Goldblatt)","9/11/17 10:48 AM","9/7/17 to 9/10/17 1:00 PM to 5:00 PM","Purse taken from secured office","Open","17-00752"
"4553","Information","6200 S. Drexel (Public Way)","9/11/17 11:59 AM","9/11/17 11:58 AM","UCPD officer observed an individual displaying a handgun on the street off campus / Suspect ran to a waiting vehicle and fled southbound / Suspect located hiding in the alley in the 800 block of E. 64th Pl. / Weapon not found / Suspect arrested by CPD for violation of parole / CPD case JA427100","CPD / Arrest","17-00753"
"4554","Lost Property","1100 E. 57th St. (Regenstein Library)","9/11/17 8:36 AM","9/9/17 10:00 AM to 12:00 PM","Individual lost wallet while in the library","Closed","17-00754"
"4555","Void","Void","Void","Void","Number generated in error","Void","17-00755"
"4556","Void","Void","Void","Void","Number generated in error","Void","17-00756"
"4557",":","","","","","",""
"4558","Theft","860 E. 59th St. (Goldblatt)","9/12/17 2:44 PM","9/12/17 1:00 PM to 2:15 PM","Wallet taken from unattended, unsecured purse left in unsecured office","Open","17-00757"
"4559","Theft","5700 S. Maryland (CCD)","9/12/17 2:46 PM","9/12/17 2:30 PM","Suspect took cell phone from charger in nurse's station / Suspect detained by UCM Public Safety Officer and arrested by UCPD","Arrest","17-00758"
"4560","Information / Aggravated Robbery / Vehicular Hijacking","5300 S. Dorchester (Public Way)","9/12/17 5:16 PM","9/12/17 5:10 PM","Suspect, armed with a handgun, forced two victims from a vehicle parked on the street off campus / Suspect entered the vehicle and drove northbound on S. Kenwood followed by an associate in another vehicle / CPD case JA428711","CPD","17-00759"
"4561","Information","5700 S. Stony Island (Stony Island RH)","9/12/17 5:40 PM","9/12/17 5:20 PM","Individual seen tampering with bicycles secured to bike rack was issued a warning not to trespass on UC property","Closed","17-00760"
"4562",":","","","","","",""
"4563","Information","950 E. 59th St. (Billings Hospital)","9/13/17 11:59 AM","9/12/17 6:00 PM","Unknown person attempted to use physician's DEA number to purchase controlled drugs / DEA investigating","DEA","17-00761"
"4564","Information","5824 S. Stony Island (Child Development Center)","9/13/17 3:04 PM","9/12/17 to 9/13/17 6:00 PM to 9:00 AM","Acquaintance used victim's Grub Hub account to purchase food without victim's knowledge / Referred to CPD","CPD","17-00762"
"4565",":","","","","","",""
"4566","Assist Other Agency / Recovered Motor Vehicle","5130 S. Lake Park","9/14/17 10:50 AM","9/14/17 10:50 AM","UCPD officers observed an occupied vehicle reported stolen to CPD / Wanted vehicle sped off and crashed into another vehicle / Suspect detained by UCPD and turned over to CPD / CPD case JA430812","CPD","17-00763"
"4567","Traffic Crash","1525 E. 53rd St.","9/14/17 12:53 PM","9/14/17 12:53 PM","UC owned vehicle involved in a minor traffic crash / Property damage only, no reported injuries / 2017 MVA-00159","Closed","17-00764"
"4568","Information","5758 S. Maryland (DCAM)","9/14/17 1:13 PM","9/14/17 8:30 AM","Individual reported a former co-worker's offensive behavior via text messages and phone calls / Victim wanted no action taken by UCPD at this time","Closed","17-00765"
"4569",":","","","","","",""
"4570","Found Property","5600 S. Ellis (Public Way)","9/15/17 4:07 PM","9/15/17 3:40 PM","Individual found a set of three keys on a ring with a Mitsubishi fob on the sidewalk at 56th & Ellis / Turned over to UCPD for safekeeping","Closed","17-00766"
"4571",":","","","","","",""
"4572","Found Property","5720 S. University","9/16/17 3:15 PM","9/16/17 3:15 PM","A BMW key fob was found / Inventoried at UCPD HQ for safekeeping","Closed","17-00767"
"4573","Void","Void","Void","Void","Number generated in error","Void","17-00768"
"4574","Medical Call","University between 61st & 62nd St.","9/16/17 11:57 PM","9/16/17 11:57 PM","Ill person transported to ER by CFD EMS for evaluation and treatment","Closed","17-00769"
"4575",":","","","","","",""
