"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured Start Date","Occured End Date","Occured Start Time","Occured End Time"
"3193","Found Property","850 E. 61st St. ","UCPD HQ","1/27/17","11:35","First Transit employee turned over iPod found on a UC Shuttle Bus / Inventoried for safekeeping","Closed","17-00081","1/27/17",NA,"11:35",NA
"3194","Information","5811 S. Ellis ","Cobb Hall","1/27/17","14:25","UCPD officer provided security subsequent to a contract employee being discharged / No problem reported","Closed","17-00082","1/27/17",NA,"14:25",NA
"3195","Information / Armed Robbery","Cornell between 54th & 55th",NA,"1/28/17","19:57","Two unknown suspects, one armed with a handgun, took iPhone from food delivery driver exiting off-campus private apartment building / No injuries reported / CPD case JA133551","CPD","17-00083","1/28/15",NA,"19:50",NA
"3196","Aggravated Battery / Domestic","5815 S. Maryland ","Mitchell Hospital","1/29/17","12:23","Ex-Boyfriend strangled patient with a telephone cord and struck her in the chest with his fist before fleeing  / Subsequent to follow-up investigation, victim declined to prosecute known suspect","Ex. Cleared","17-00084","1/29/17",NA,"12:20",NA
"3197","Information / Lost Property","850 E. 61st St. ","UCPD HQ","1/29/17","14:18","Staff member reports losing wallet with UC ID outside of UCPD patrol area / CPD case","CPD","17-00085","1/28/17",NA,"14:00","14:05"
"3198","Lost Property","850 E. 61st St. ","UCPD HQ.","1/30/17","06:59","A vehicle registration sticker was reported missing from the license plate of a UC owned vehicle","Closed","17-00086","1/29/17","1/30/17","19:00","06:50"
"3199","Information","4623 S. Woodlawn",NA,"1/30/17","12:50","Victim, not affiliated with the University, suffered a gunshot wound to the groin off-campus / Transported to the hospital by CFD EMS / CPD case JA135250","CPD","17-00087","1/30/17",NA,"12:45",NA
"3200","Found Property","850 E. 61st St. ","UCPD HQ","1/31/17","14:47","First Transit employee turned over debit card that was found on a UC Shuttle Bus / Card inventoried and held for owner","Closed","17-00089","1/31/17",NA,"14:47",NA
"3201","Missing Person","5640 S. Ellis",NA,"1/31/17","16:19","Co-workers reported a contract employee missing after making attempts to contact the individual / Missing person later contacted UCPD to inform of his whereabouts and well-being","Closed","17-00090","1/30/17","1/31/17","21:30","14:30"
"3202","Sexual Assault / Fondling","1005 E. 60th St. ","Burton-Judson RH","10/17/17","13:13","DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall during the Winter Quarter of 2016 / Due to the confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report      17-034",NA,NA,NA,NA
"3203","Sexual Assault / Fondling","1101 E. 56th St. ","Max Palevsky RH","10/17/17","13:17","DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall during in 2015 / Due to the confidentiality of reporting, limited information is available","No Investigation Referred to Title IX Coordinator","CSA Report      17-035","9/25/15",NA,NA,NA
"3204","Stalking","5807 S. Woodlawn ","Booth School","10/17/17","13:19","DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked by a known individual while in the Booth School and other locations on campus / Due to confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report    17-036",NA,NA,NA,NA
"3205","Lost/Found Property","950 E. 59th St.",NA,"2/1/17","08:54","Individual lost wallet / Wallet found and returned to owner minus credit cards","Closed","17-00090","1/31/17","2/1/17","14:00","08:15"
"3206","Theft","1100 E. 59th St. ","Public Way","2/1/17","09:20","Front license plate taken from vehicle parked at the curb","Open","17-00091","1/27/17","1/30/17","15:30","07:00"
"3207","Information / Burglary","Greenwood between 61st & 62nd",NA,"2/1/17","20:12","Unknown person(s) made entry to off-campus private apartment via a side window and took property / CPD case JA138437","CPD","17-00092","2/1/17",NA,"16:00","19:30"
"3208","Lost Property","5823 S. Kenwood ","Kovler Gym","2/2/17","16:27","Individual lost flute / Remembers last seeing the instrument while in Kovler Gym at Lab School","Closed","17-00093","1/6/17","1/9/17","16:00","07:00"
"3209","Theft","5530 S. Ellis ","Ratner A.C","2/2/17","22:29","Cell phone taken from unattended, unsecured locker in locker room","Open","17-00094","2/2/17",NA,"21:15","21:20"
"3210","Information / Traffic Crash","850 E. 61st St. ","UCPD HQ","2/3/17","11:09","UC owned vehicle struck by a second vehicle while parked at the curb at 516 E. 43rd St. / CPD case JA140179","CPD","17-00096","2/3/17",NA,"11:00",NA
"3211","Found Property","850 E. 61st St. ","UCPD HQ","2/3/17","13:55","First Transit personnel turned over to UCPD a pair of Burberry eyeglasses found on a campus Shuttle Bus / Inventoried at UCPD HQ for safekeeping","Closed","17-00097","2/1/17","2/3/17","13:00",NA
"3212","Information","6025 S. Ellis ","Cathey Dining Hall","2/3/17","09:44","Disgruntled contract employee voiced threats to co-workers","Closed","17-00098","2/2/17",NA,"20:30",NA
"3213","Criminal Damage to Property","5656 S. Maryland ","Parking Structure","2/3/17","17:35","Passenger's side window in parked car was shattered","Open","17-00099","2/3/17",NA,"06:45","17:30"
"3214","Information / Burglary","Lake Shore Dr. between 50th & 51st",NA,"2/3/17","18:34","Unknown person(s) gained unlawful entry to off-campus private apartment and took property / CPD case","CPD","17-00100","2/3/17",NA,"10:00","18:00"
"3215","Battery","5815 S. Maryland ","Mitchell Hospital","2/3/17","20:06","Disturbed patient struck staff and UCPD officers while being restrained / Charges to be filed pending discharge from the hospital","Open","17-00101","2/3/17",NA,"20:00",NA
"3216","Theft","1212 E. 59th St. ","Ida Noyes","2/4/17","20:31","Cash and credit cards taken from pocket of unattended, unsecured jacket left hanging on the back of a chair in meeting room / Complainant found his wallet in his gym bag / No crime occurred","Unfounded","17-00102","2/4/17",NA,"10:00","12:30"
"3217","Liquor Law Violation","5714 S. Woodlawn ","Front Yard","2/5/17","02:20","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","17-00103","2/5/17",NA,"02:20",NA
"3218","Found Property","Blackstone at 59th",NA,"2/5/17","09:14","Individual found wallet on the public way and turned it over to UCPD for safekeeping","Closed","17-00104","2/5/17",NA,"09:14",NA
"3219","Non-Criminal / Recovery / Automobile","1153 E. 56th St.",NA,"2/5/17","15:31","UCPD officer recovered an unoccupied vehicle parked at the curb / Vehicle had been reported stolen to Oak Lawn, IL PD","Closed","17-00105","2/5/17",NA,"15:30",NA
"3220","Injured Person","5554 S. Ellis ","Public Way","2/6/17","11:59","Individual tripped on uneven sidewalk, fell striking face on pavement / Treated on the scene by CFD for bloody nose / Victim declined further medical attention","Closed","17-00106","2/6/17",NA,"11:55",NA
"3221","Theft","5758 S. Maryland ","DCAM","2/6/17","13:58","Individual took several items of food from the Central Caf<e9> and fled without paying / Suspect detained by MC Public Safety Officers and arrested by UCPD","Arrest","17-00107","2/6/17",NA,"13:35",NA
"3222","Theft","5500 S. University ","Campus North RH","2/6/17","15:21","Unattended, unsecured back pack left on chair in dining hall taken by unknown person / Suspect identiifed by UCPD Investigations / Arrested and charged with felony theft on 2/14/17","Arrest","17-00108","2/5/17",NA,"17:50","19:00"
"3223","Theft from Motor Vehicle","5840 S. Maryland ","Parking Structure","2/6/17","15:45","Unknown person(s) shattered driver's side window of vehicle parked on the 4th level and took a Garman GPS device","Open","17-00109","2/6/17",NA,"12:00","15:45"
"3224","Theft from Motor Vehicle","5656 S. Maryland ","Parking Structure","2/6/17","19:43","Unknown person(s) smashed passenger's side window of vehicle parked on the 7th level and took a radar detector","Open","17-00110","2/6/17",NA,"08:45","19:40"
"3225","Mental Health Transport","6031 S. Ellis ","Granville-Grossman RH","2/6/17","23:50","Individual transported to ER for evaluation and treatment","Closed","17-00112","2/6/17",NA,"23:50",NA
"3226","Information / Armed Robbery","5048 S. Cornell ","Gas Station","2/7/17","00:17","Two unknown males, both armed with handguns, took cash and other property from a victim standing by the gas pumps on the service station lot / CPD case JA144458","CPD","17-00111","2/6/17",NA,"23:55",NA
"3227","Found Narcotics","5700 S. Maryland ","CCD","2/7/17","07:56","Staff member found small amount of suspect narcotics in patient's room / Turned over to UCPD and inventoried for proper disposal","Closed","17-00113","2/6/17",NA,"18:45",NA
"3228","Mental Health Transport","5555 S. Woodlawn ","Student Counseling","2/7/17","12:04","Individual transported to ER for evaluation and treatment","Closed","17-00114","2/7/17",NA,"12:04",NA
"3229","Traffic Crash","5555 S. Woodlawn ","Alley","2/7/17","14:30","UC owned vehicle involved in minor property damage accident / No injuries reported / 2017-MVA000024","Closed","17-00115","2/7/17",NA,"12:25",NA
"3230","Theft from Motor Vehicle","1155 E. 57th St. ","Alley","2/8/17","14:20","Unknown person(s) punched door lock of unoccupied UC Facilities van and took tools","Open","17-00116","2/8/17",NA,"13:20","14:00"
"3231","Damage to Vehicle","901 E. 58th St.",NA,"2/8/17","19:39","Key broke in door lock of UC owned vehicle","Closed","17-00117","2/8/27",NA,"19:35",NA
"3232","Burglary","920 E. 58th St. ","Cummings","2/9/17","12:28","Unsecured, unattended purse taken from unsecured office","Open","17-00118","2/9/17",NA,"10:20","12:00"
"3233","Information","5735 S. Ellis ","Searle Lab","2/9/17","19:41","Unauthorized individual found in building / Issued  written trespass warning and escorted from the premise","Closed","17-00119","2/9/17",NA,"19:40",NA
"3234","Non-Criminal / Damage to Property","5840 S. Maryland ","Parking Structure","2/10/17","10:59","Due to high winds a light pole fell on a car parked on the 5th floor / Damage to roof, windshield, and frame.","Closed","17-00120","2/10/17",NA,"10:59",NA
"3235","Injured Person","5400 S. University ","Public Way","2/11/17","01:01","Individual tripped while walking on the sidewalk off-campus injuring an ankle / Transported to ER by CFD EMS","Closed","17-00121","2/11/17",NA,"00:50",NA
"3236","Information / Armed Robbery / Vehicle Hijacking","6300 S. Stony Island",NA,"2/11/17","02:21","Unknown suspect, armed with a handgun, forced victim from his vehicle off-campus and took car driving westbound on 63rd St / CPD case JA149506","CPD","17-00122","2/11/17",NA,"02:20",NA
"3237","Traffic Crash","959 E. 61st St.",NA,"2/11/17","03:01","UC owned vehicle struck by another vehicle / Property damage only, no injuries reported / 2017-MVA00027","Closed","17-00123","2/11/17",NA,"03:00",NA
"3238","Liquor Law Violation","5625 S. Ellis ","Max Palevsky RH","2/12/17","00:31","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","17-00124","2/12/17",NA,"00:31",NA
"3239","Domestic Battery","5100 S. Lake Park ","Public Way","2/12/17","06:31","Boyfriend and girlfriend engaged in argument that became physical on the sidewalk off-campus / Both parties declined to press charges","Ex. Cleared","17-00125","2/12/17",NA,"06:25",NA
"3240","Theft","5656 S. Maryland ","Parking Structure","2/12/17","13:16","Individual left wallet on top of parking structure pay station machine / Wallet later recovered minus cash","Open","17-00126","2/12/17",NA,"12:40","13:20"
"3241","Information","Harper between 58th & 59th",NA,"2/12/17","21:39","Two unknown suspects, one armed with a handgun, attempted to take a cell phone from a victim walking on the sidewalk off-campus / Victim managed to flee and no property was taken / Declined medical attention and declined to file a report with CPD","Closed","17-00127","2/12/17",NA,"21:20",NA
"3242","Missing Person","901 E. 58th St. ","Mitchell Hospital ER","2/13/17","01:52","Individual in need of care fled from the ER without permission / Missing individual was located by UCPD investigators on 2/16/17 safe and secure at home","Closed","17-00128","2/13/17",NA,"01:52",NA
"3243","Assist Other Agency","1149 E. 46th St.",NA,"2/13/17","08:17","UCPD officer detained individual in possession of a stolen vehicle with stolen license plates / Turned over to CPD / CPD case JA142008","CPD","17-00129","2/13/17",NA,"08:17",NA
"3244","Domestic Battery","5721 S. Maryland ","Comer Hospital","2/13/17","10:22","Boyfriend struck girlfriend several times with his fists / Arrested by UCPD officers","Arrest","17-00130","2/13/17",NA,"10:20",NA
"3245","Fire","970 E. 58th St.",NA,"2/13/17","14:39","Contents of trash compactor outside of building caught fire / Fire extinguished by CFD / No injuries or property damage reported","Closed","17-00131","2/13/17",NA,"14:39",NA
"3246","Information / Death Investigation","5550 S. Dorchester",NA,"2/13/17","09:50","Individual found deceased at home / CPD death investigation","CPD","17-00132","2/13/17",NA,"09:50",NA
"3247","Information / Harassment by Electronic Means","53rd St. between Woodlawn & Kimbark",NA,"2/14/17","13:11","A known person has been sending harassing messages via e-mail and phone to the complainant / Referred to CPD","CPD","17-00133","2/9/17","2/13/17","22:00","22:00"
"3248","Information","901 E. 58th St. ","Mitchell Hospital ER","2/15/17","06:45","Physician reports DEA number has been compromised","Referred","17-00134","1/29/17","2/14/2017","12:00","12:00"
"3249","Disturbance","5700 S. Maryland ","CCD","2/15/17","09:37","Visitor caused a disturbance while staff were attending to a patient / Peace restored","Closed","17-00135","2/15/17",NA,"09:30",NA
"3250","Theft","5530 S. Ellis ","Ratner A.C.","2/16/17","09:33","Unattended wallet taken from unsecured locker in men's locker room","Open","17-00136","2/15/17",NA,"18:30","19:00"
"3251","Found Property","850 E. 61st St. ","UCPD HQ","2/16/17","13:46","First Transit Shuttle Bus driver found an iPhone on the bus and turned it over to UCPD / Inventoried for safekeeping","Closed","17-00137","2/16/17",NA,"11:30",NA
"3252","Information","5656 S. Maryland ","Parking Structure","2/17/17","11:12","Unauthorized individual was found trespassing in the parking structure / Issued a written trespass warning","Closed","17-00138","2/17/17",NA,"11:00",NA
"3253","Information / Burglary","Greenwood between 53rd & 54th",NA,"2/18/17","10:02","Unknown person(s) gained entry to a private apartment off-campus, possibly via an unsecured rear door, and took property / CPD case","CPD","17-00139","2/18/17",NA,"00:15","07:40"
"3254","Information","5550 S. University ","Crown Field House","2/18/17","14:01","Bag taken from secured locker in men's locker room and found, intact, in another location in the room","Closed","17-00140","2/18/17",NA,"12:40","14:00"
"3255","Domestic Battery","Kimbark between 55th & 56th",NA,"2/18/17","22:54","During the course of an argument, husband battered wife with his fists and pulled her hair in vestibule of private apartment building off-campus / Victim treated on scene by CFD EMS / Suspect arrested by UCPD","Arrest","17-00141","2/18/17",NA,"22:54",NA
"3256","Liquor Law Violation","5900 S. University ","Public Way","2/19/17","02:01","Underage individual became ill after consuming alcoholic beverages transported to ER by CFD EMS","Referred","17-00142","2/19/17",NA,"02:01",NA
"3257","Non-Criminal Damage to Property","915 E. 60th St. ","Logan Center","2/19/17","20:24","Desk broken after an unknown person put weight upon it","Closed","17-00143","2/19/17",NA,"19:40",NA
"3258","Stalking","6031 S. Ellis ","Granville-Grossman RH","2/20/17","11:07","DSS notified by a Campus Security Authority that an undisclosed victim reported being stalked by an ex-boyfriend / Due to confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report   17-011","2/1/17",NA,NA,NA
"3259","Criminal Damage to Property","820 E. 56th St.",NA,"2/20/17","12:57","Delayed report - Complainant reports he observed an unknown person cause damage to his vehicle while parked, unoccupied on the public way / Suspect cracked windshield and scratched door and bumper","Closed","17-00144","1/14/16",NA,"07:45",NA
"3260","Lost Property","5747 S. University",NA,"2/20/17","19:02","Individual reports losing a Galaxy 6 cell phone after attending a frat party","Closed","17-00145","2/18/17","2/19/17","22:30","00:45"
"3261","Information / Armed Robbery","836 E. 63rd St.",NA,"2/20/17","19:19","Four passengers, one armed with a handgun took a cell phone from an Uber driver off-campus / CPD case JA161245","CPD","17-00146","2/20/17",NA,"19:00",NA
"3262","Theft","5550 S. University ","Crown Field House","2/20/17","19:22","Watch taken from secured locker in men's locker room","Open","17-00147","2/18/17",NA,"17:00","18:30"
"3263","Information / Theft","Blackstone between 51st & 52nd",NA,"2/20/17","20:55","Unsecured bicycle taken from off-campus private apartment building / CPD case JA161371","CPD","17-00148","2/20/17",NA,"18:15","19:00"
"3264","Attempt Burglary","Hyde Park between 55th & 56th",NA,"2/20/17","21:55","Suspect was seen using tools in an attempt to force entry to front door of off-campus private apartment building / Suspect arrested by UCPD officer","Arrest","17-00149","2/20/17",NA,"21:45",NA
"3265","Theft","6041 S. Blackstone ","Storage Yard","2/21/17","10:57","9 bags of crushed granite taken from Facilities storage site","Open","17-00150","9/9/16","2/21/17","08:00","08:00"
"3266","Lost Property","1118 E. 58th to 6031 S. Ellis",NA,"2/23/17","13:12","Individual reports losing a wallet containing currency, credit cards, and ID from a back pack","Closed","17-00151","2/18/17",NA,"13:00","15:00"
"3267","Disturbance","5758 S. Maryland ","DCAM","2/23/17","13:18","Irate individual created a disturbance / Left before police arrived","Closed","17-00152","2/23/17",NA,"12:30",NA
"3268","Mental Health Transport","5555 S. Woodlawn ","Student Health & Counseling","2/23/17","16:37","Individual transported to the ER for evaluation and treatment","Closed","17-00153","2/23/17",NA,"16:37",NA
"3269","Theft","5550 S. University ","Crown Field House","2/23/17","23:00","Unattended, unsecured jacket taken from floor of weight room / Individual located jacket / No theft occurred","Unfounded","17-00154","2/23/17",NA,"21:00","22:30"
"3270","Lost Property","915 E. 60th St. ","Logan Center","2/25/17","00:24","Individual reported cell phone lost from his pocket while in the building","Closed","17-00155","2/24/17",NA,"21:10","22:00"
"3271","Liquor Law Violation","5630 S. Ellis ","Max Palevsky RH","2/26/17","03:35","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","17-00156","2/26/17",NA,"03:35",NA
"3272","Stalking","1100 E. 57th St. ","Mansueto Library","2/27/17","12:19","Person reports being stalked by an individual at various locations and dates / Follow up investigation revealed the elements of a crime are lacking / Incident is Unfounded","Unfounded","17-00158",NA,NA,NA,NA
"3273","Criminal Damage to Property","5835 S. Greenwood ","Stuart Hall","2/27/17","13:44","Graffiti scrawled on wall in ground level stairwell","Open","17-00159","2/24/17","2/27/17","09:00","13:40"
"3274","Lost Property","5721 S. Maryland ","Comer Hospital","2/27/17","14:35","Patient's boots misplaced","Closed","17-00160","2/25/17",NA,"20:00","05:00"
"3275","Found Property","Blackstone between 52nd & 53rd",NA,"2/27/16","15:35","Individual found a plastic replica BB gun in the bushes along the sidewalk off-campus / Inventoried by UCPD","Closed","17-00161","2/27/17",NA,"15:35",NA
"3276","Medical Call","5640 S. University ","Bartlett Commons","2/27/17","19:50","Sick person transported to ER by CFD EMS for evaluation and treatment","Closed","17-00162","2/27/17",NA,"19:50",NA
"3277","Information / Motor Vehicle Theft","1225 E. 52nd St.",NA,"2/27/17","19:42","Individual reported car that had been parked on the street off-campus was taken / CPD case","CPD","17-00163","2/24/17","2/27/17","09:00","19:00"
"3278","Lost Property","5758 S. Maryland ","DCAM","2/28/17","08:58","Staff member reports losing cell phone in the building","Closed","17-00164","2/28/17",NA,"06:55","07:55"
"3279","Found Property","6158 S. Greenwood ","Public Way","2/28/17","12:20","Resident found wallet on the public way / UCPD located owner / Wallet returned intact","Closed","17-00165","2/28/17",NA,"07:00",NA
"3280","Found Property","850 E. 61st St.",NA,"2/28/17","14:08","Driver of First Transit bus found cell phone on the bus / Turned over to UCPD for safekeeping","Closed","17-00166","2/27/17",NA,"22:00",NA
"3281","Sexual Assault / Fondling","5700 S. Stony Island ","Stony Island RH","10/17/17","13:22","DSS was notified by a Campus Security Authority that an undisclosed victim reported being fondled by an acquaintance in the residence hall on an unknown date and time in February 2017 / Due to confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report    17-037","Unknown Start Date","Unknown End Date",NA,NA
"3282","Mental Health Transport","5656 S. Maryland ","Parking Structure","3/2/17","02:17","Individual transported to ER for evaluation and treatment","Closed","17-00168","3/2/17",NA,"02:17",NA
"3283","Domestic Battery","5730 S. Drexel ","Comer Hospital","3/3/17","13:30","Boyfriend slapped girlfriend on the face during an argument / Suspect arrested by UCPD","Arrest","17-00169","3/3/17",NA,"13:20",NA
"3284","Found Property","850 E. 61st St. ","UCPD HQ","3/3/17","14:35","First Transit supervisor turned over a credit card that was found on a shuttle bus / Owner contacted","Closed","17-00170","3/3/17",NA,"14:35",NA
"3285","Mental Health Transport","901 E. 58th St. ","Mitchell ER","3/3/17","21:47","Individual transported to Jackson Park Hospital for evaluation and treatment","Closed","17-00171","3/3/17",NA,"21:47",NA
"3286","Found Narcotics","5700 S. Maryland ","CCD","3/3/17","23:38","Staff found controlled substances and syringes among patient's property / Syringes disposed of and narcotics inventoried for proper disposal","Closed","17-00172","3/3/17",NA,"23:38",NA
"3287","Found Property","5500 S. Kimbark ","Public Way","3/4/17","08:03","Citizen found handbag on the public way / Turned over to UCPD for safekeeping","Closed","17-00173","3/4/17",NA,"08:03",NA
"3288","Injured Person","5643 S. Cottage Grove ","Facilities Bldg.","3/4/17","20:28","Staff member slipped on ice while pumping gas, injuring right knee / Declined medical attention","Closed","17-00174","3/4/17",NA,"03:30",NA
"3289","Domestic Battery","5730 S. Drexel ","Private Vehicle","3/5/17","05:54","Boyfriend / Girlfriend involved in an argument that became physical / Both parties declined medical attention and both declined to press charges","Ex. Cleared","17-00175","3/5/17",NA,"05:50",NA
"3290","Information / Armed Robbery","1501 E. 57th St. ","Public Way","3/5/17","21:52","A suspect, armed with a handgun, took property from two individuals walking on the sidewalk off-campus / Victims reported no physical injuries / CPD case","CPD","17-00176","3/5/17",NA,"21:40",NA
"3291","Disturbance","5730 S. Drexel ","Comer Hospital","3/5/17","23:34","Argument involving two groups of people / Peace restored","Closed","17-00177","3/5/17",NA,"23:30",NA
"3292","Theft","6025 S. Ellis ","Cathy Dining Commons","3/6/17","13:55","Unattended winter hat taken from table top","Open","17-00178","2/27/17",NA,"17:10","17:20"
"3293","Theft","5811 S. Ellis ","Cobb Hall","3/6/17","14:17","Book bag containing laptop left unattended in hallway taken by unknown person","Open","17-00179","3/6/17",NA,"14:14","14:16"
"3294","Information / Armed Robbery","1122 E. 46th St. ","Public Way","3/6/17","21:56","Unknown suspect armed with a handgun took wallet and cash from a victim walking on the sidewalk off-campus / Suspect entered a waiting VW SUV and fled eastbound on 46th St. / CPD case JA177652","CPD","17-00180","3/6/17",NA,"21:55",NA
"3295","Information / Burglary","Kimbark between 51st & 52nd",NA,"3/8/17","14:44","Unknown person(s) entered off-campus private apartment by forcing the front door and took various property / CPD case JA179931","CPD","17-00181","3/8/17",NA,"11:30","13:00"
"3296","Recovered Motor Vehicle","1500 E. 61st St.",NA,"3/9/17","01:00","UCPD officers recovered a parked, unoccupied vehicle that had been reported stolen to CPD / Discovered via in-car LPR system / CPD case JA156517","CPD","17-00182","3/9/17",NA,"01:00",NA
"3297","Liquor Law Violation","1005 E. 60th St. ","Burton-Judson RH","3/9/17","02:47","Two individuals became ill after consuming alcoholic beverages / Both transported to ER by CFD EMS for evaluation and treatment","Referred","17-00183","3/9/17",NA,"02:47",NA
"3298","Found Property","850 E. 61st St. ","UCPD HQ","3/9/17","15:51","Individual found a wallet on the CTA 172 bus / Turned wallet over to UCPD for safekeeping","Closed","17-00185","3/9/17",NA,"20:50",NA
"3299","Criminal Damage to Property","5730 S. Ellis ","Crerar Library","3/9/17","21:20","Report of suspicious individual running near the Quadrangle / Unauthorized individual located and admitted to previously posting signs on University property / Given oral and written trespass warning and informed he would be subject to arrest upon return / Subsequent investigation revealed signs posted in various locations on campus buildings and grounds / Incident reclassified to Criminal Damage to Property / Suspect arrested by UCPD Investigations subsequent to a warrant on 3/16/17 / Charged with felony Criminal Damage to Property","Arrest","17-00186","3/9/17",NA,"21:20",NA
"3300","Liquor Law Violation","6031 S. Ellis ","Granville-Grossman RH","3/10/17","00:18","Underage individual became ill after consuming alcoholic beverages / Transported to the hospital by CFD EMS","Referred","17-00187","3/10/17",NA,"00:18",NA
"3301","Lost Property","5801 S. Ellis",NA,"3/10/17","12:04","Individual reported loss of driver's license","Closed","17-00188","2/13/17",NA,"12:00",NA
"3302","Theft","5807 S. Woodlawn ","Booth School","3/10/17","18:39","Unattended, unsecured book bag taken from study room / Book bag later recovered in washroom minus an iPhone and laptop computer / A suspect was identified through follow up investigation, however, the victim refused to prosecute","Ex. Cleared","17-00190","3/10/17",NA,"14:30","17:30"
"3303","Information / Fire Alarm","6031 S. Ellis ","Granville-Grossman RH","3/11/17","02:16","Pull box fire alarm activated / Building evacuated / CFD responded / No fire / Residents returned to the building","Closed","17-00191","3/11/17",NA,"02:16",NA
"3304","Deceptive Practice","5812 S. Ellis ","Citi Bank","3/11/17","11:43","Individual received a fraudulent check that was deposited to account","Open","17-00192","3/8/17","3/11/17","12:30","10:00"
"3305","Assist Other Agency / Domestic Battery","4625 S. Drexel",NA,"3/11/17","14:33","UCPD officers detained a suspect wanted by CPD for domestic battery and parole violation / Suspect was identified and arrested by CPD","CPD","17-00193","3/11/17",NA,"14:33",NA
"3306","Theft","950 E. 59th St. ","Peck Pavilion","3/12/17","11:30","Two laptop computers, cash, and charger taken from separate workstations in shared research office","Open","17-00194","3/11/17","3/12/17","20:00","10:30"
"3307","Medical Call","5800 S. University ","Public Way","3/13/17","05:36","Sick person transported to ER by CFD EMS for evaluation and treatment","Closed","17-00196","3/13/17",NA,"05:36",NA
"3308","Criminal Sexual Assault","Burton-Judson RH",NA,"3/13/17","13:58","DSS was notified by a Campus Security Authority that an undisclosed victim was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report      17-016","3/4/17",NA,NA,NA
"3309","Criminal Trespass to Land","5807 S. Woodlawn ","Booth School","3/13/17","16:15","Unauthorized individual who had received prior written notice not to trespass on University property was placed under arrest by UCPD officer / A second unauthorized individual was located and given a trespass warning","Arrest","17-00197","3/13/17",NA,"16:00",NA
"3310","Lost Property","5640 S. University ","Bartlett Commons","3/13/17","17:53","Subsequent to an inventory, approximately 370 forks were reported missing","Closed","17-00198","3/6/17","3/12/17","20:30","19:30"
"3311","Injured Person","5800 S. Stony Island",NA,"3/14/17","08:19","Individual walking into Shapiro Hall parking lot was struck on the top of the head as the parking gate lowered","Closed","17-00199","3/13/17",NA,"07:45",NA
"3312","Traffic Crash","60th & Drexel",NA,"3/14/17","10:07","UC owned vehicle struck in the rear by another vehicle / No injuries reported, property damage only / MVA 2017-00200","Closed","17-00200","3/14/17",NA,"10:07",NA
"3313","Information / Aggravated Assault","1405 E. 53rd St.",NA,"3/14/17","09:14","Suspect menaced a store employee with a knife as he was being escorted from the establishment for smoking / Suspect fled before police arrived / CPD case JA186440","CPD","17-00201","3/14/17",NA,"09:05",NA
"3314","Injured Person","929 E. 57th St. ","Gordon Center","3/14/17","13:32","Individual found laying on floor in a room with contusion to the forehead / Transported to ER by CFD EMS for evaluation and treatment","Closed","17-00202","3/14/17",NA,"13:30",NA
"3315","Found Property","6054 S. Drexel",NA,"3/14/17","16:43","Handbag found in 1st floor lobby at 6054 S. Drexel / Inventoried by UCPD for safekeeping","Closed","17-00203","3/14/17",NA,"16:43",NA
"3316","Lost Property","1226 E. 53rd St. ","Parking Lot","3/14/17","18:50","Staff member reports loss of UCM ID","Closed","17-00204","3/14/17",NA,"11:45","18:45"
"3317","Criminal Damage to Property","5500 S. University ","Campus North RH","3/15/17","22:25","Locking device on locker in employee locker room was damaged / Suspect was identified, however, victim refused to prosecute","Exceptionally Cleared","17-00205","3/10/17",NA,"08:00","16:30"
"3318","Medical Call","1100 E. 57th St. ","Regenstein Library","3/16/17","01:27","Sick individual transported to ER by CFD EMS for evaluation and treatment","Closed","17-00206","3/16/17",NA,"01:27",NA
"3319","Mental Health Transport","6100 S. University ","Public Way","3/16/17","03:04","Individual in need of mental health evaluation transported to ER","Closed","17-00207","3/16/17",NA,"03:04",NA
"3320","Theft","1118 E. 58th St. ","Eckhart Hall","3/16/17","12:53","CDs taken from desk in room # 3","Open","17-00208","3/14/17","3/16/17","17:00","12:00"
"3321","Theft","5815 S. Maryland ","Mitchell Hospital","3/16/17","13:43","Unattended wallet taken from a bench in the main lobby of the hospital / Follow-up investigation revealed the wallet was picked up by an individual who returned it to the owner in tact / No crime was committed","Unfounded","17-00209","3/16/17",NA,"12:00","13:00"
"3322","Attempt Motor Vehicle Theft","935 E. Midway Pl.",NA,"3/16/17","16:43","Unknown person broke into vehicle and damaged the ignition while trying to start the engine","Open","17-00210","3/16/17",NA,"07:00","16:30"
