"","Incident","Location","Address","Lat","Long","Occured","Disposition","Notes","temp_inc","lat_long","Latitude","Longitude"
"410","disorderly / reckless conduct","illinois institute of technology: main campus: general parking locations: a4 lot","e 31st street and south state","41.837268","-87.626259",2015-09-06 10:50:00,NA,"iitpsd encountered a member of the general public who was intoxicated and disorderly on iit property. iitpsd removed the general public member with the assistance of cpd.","DISTURBANCE","41.8382962,-87.6265929",41.8382962,-87.6265929
"411","alarm : fire","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-09-06 11:45:00,NA,"iitpsd responded to msv for an activated fire alarm caused by steam from boiling water.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"412","utility incident","illinois institute of technology",NA,NA,NA,2015-09-07 09:10:00,NA,"iitpsd responded to numerous locations on iit campus due to a campus wide power surge.","UTILITY INCIDENT","NA",NA,NA
"413","larceny/theft","illinois institute of technology","3300 south michigan ave",NA,NA,2015-09-07 13:00:00,NA,"iitpsd responded to farr hall for a theft report for an iit student.","THEFT","41.8346808,-87.6233541",41.8346808,-87.6233541
"414","assault-simple ","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-09-07 22:30:00,NA,"iitpsd responded to msv for an assault involving iit students. thank you","ASSAULT","41.8355909,-87.6249574",41.8355909,-87.6249574
"415","fire","illinois institute of technology: main campus:: state street village","3301 south state",NA,NA,2015-09-03 19:30:00,NA,"iitpsd responded to an electrical fire of a landscape accent light outside ssv south. iitpsd extinguished the fire.","ALARM","41.8346518,-87.6264893",41.8346518,-87.6264893
"416","injured/sick person : report only","illinois institute of technology: main campus: fraternity/sorority",NA,NA,NA,2015-09-03 22:30:00,NA,"iitpsd responded for a student who fainted during a ceremony. thank you","MEDICAL INCIDENT","NA",NA,NA
"417","larceny/theft","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-09-02 19:40:00,NA,"iitpsd took an information report on a possible theft that occurred at mtcc. thank you","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"418","utility incident: water location","illinois institute of technology: main campus: residential buildings: state street village: ssv middle – 3333 s state","3333 south state",NA,NA,2015-09-01 12:30:00,NA,"iitpsd observed a minor water leak in the laundry room in state street village middle causing minor flooding of the room.","UTILITY INCIDENT","41.8337217,-87.6262175",41.8337217,-87.6262175
"419","alarm: fire location","illinois institute of technology: main campus: residential buildings: mccormick studentvillage – 3241 s wabash","3241 south wabash ave",NA,NA,2015-09-01 12:55:00,NA,"iitpsd responded to an activated fire alarm at mccormick student village. alarm was determined to be false and caused by steam. no smoke/ flames observed.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"420","robbery location","illinois institute of technology: main campus: other: off campus location","32nd  and  s martin luther king dr",NA,NA,2015-09-01 21:30:00,NA,"iitpsd took a delayed report of an apparent off campus robbery involving an unknown iit student at the iit shuttle bus stop at 32nd/king drive. thank you","ROBBERY","41.8365881,-87.6174199",41.8365881,-87.6174199
"421","larceny/theft location","illinois institute of technology","3300 south michigan ave",NA,NA,2015-08-31 10:15:00,NA,"iitpsd responded to farr hall to take a theft report for an iit student.","THEFT","41.8346808,-87.6233541",41.8346808,-87.6233541
"422","injured/sick person : non-emergency medical transport : student location","illinois institute of technology: main campus: academic/administrative buildings: tower – 10w 35th","10 west 35th street",NA,NA,2015-08-31 12:05:00,NA,"iitpsd responded to the health & wellness center to transport a student to mercy hospital.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"423","utility incident : elevator : entrapment location","illinois institute of technology: kent campus – 565 w adams","565 west adams street",NA,NA,2015-08-31 16:02:00,NA,"elevator entrapment at kent college of law.","UTILITY INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"424","alarm : fire location","illinois institute of technology: main campus: residential buildings: mccormick student village – 3241 s wabash","3241 south wabash ave",NA,NA,2015-08-31 16:05:00,NA,"iitpsd responded to msv for an activated fire alarm. it was found that burnt food was the cause of the alarm. (no flames) thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"425","utility incident : elevator : entrapment","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-10-29 11:25:00,NA,"elevator entrapment of a student at kent college of law.","UTILITY INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"426","alarm : fire","illinois institute of technology","35 west 34th street",NA,NA,2015-10-29 14:20:00,NA,"iitpsd responded to iitri for an alarm activated by a steam release.","ALARM","41.8328143,-87.628466",41.8328143,-87.628466
"427","injured/sick person : non-emergency medical transport : student","illinois institute of technology: mies campus: tower","10 west 35th street",NA,NA,2015-10-29 14:30:00,NA,"iitpsd provided a non-emergency medical transport to mercy hospital for an iit student. thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"428","well being check","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2015-10-28 19:00:00,NA,"iitpsd responded to msv for a well being check of an iit student. iitpsd found that the student was alright.","WELL BEING CHECK","41.8355909,-87.6249574",41.8355909,-87.6249574
"429","damage to property","illinois institute of technology:off campus location",NA,NA,NA,2015-10-28 20:15:00,NA,"iitpsd responded to a report of a students personal vehicle having a shattered window. thank you","DAMAGE TO PROPERTY","NA",NA,NA
"430","utility incident : electricity","illinois institute of technology: mies campus",NA,NA,NA,2015-10-27 01:50:00,NA,"all iitpsd officers responded to a power surge on the campus.","UTILITY INCIDENT","NA",NA,NA
"431","injured/sick person : non-emergency medical transport : student","illinois institute of technology: mies campus: tower","10 west 35th street",NA,NA,2015-10-27 14:45:00,NA,"iitpsd provided a non-emergency medical transport for a student to mercy hospital.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"432","administrative information","illinois institute of technology: mies campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-10-27 15:40:00,NA,"iitpsd responded to mtcc for an administrative information report. thank you","OTHER","41.8330588,-87.623592",41.8330588,-87.623592
"433","alarm : smoke","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2015-10-26 22:10:00,NA,"iitpsd responded to msv for an activated fire alarm. it was later found to be caused by burnt food. no flame. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"434","utility incident : water","illinois institute of technology: mies campus: tower","10 west 35th street",NA,NA,2015-10-23 01:30:00,NA,"iitpsd responded to the 10th floor of the tower for a water leak.","UTILITY INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"435","administrative information","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2015-10-23 18:40:00,NA,"iitpsd responded to a panic button that was activated inside of the rgl office at msv.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"436","drug/narcotic offense","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2015-10-23 21:35:00,NA,"iitpsd responded to the smell of marijuana emitting from one of the rooms in msv.","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"437","drug/narcotic offense","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2015-10-25 22:05:00,NA,"iitpsd responded to a report of iit students smoking marijuana outside msv. further investigation found that the students were in possession of fake id’s.","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"438","counterfeiting/forgery","illinois institute of technology: mies campus: mccormick student village",NA,NA,NA,2015-10-25 22:05:00,NA,"iitpsd responded to a report of iit students smoking marijuana outside msv. further investigation found that the students were in possession of fake id’s. thank you","NARCOTICS","NA",NA,NA
"439","injured/sick person : non-emergency medical transport : student","illinois institute of technology: vandercook","3140 south federal street",NA,NA,2015-10-22 11:07:00,NA,"iitpsd provided a non-emergency medical transport for an iit student to mercy hospital.","MEDICAL INCIDENT","41.8367645,-87.6291973",41.8367645,-87.6291973
"440","larceny/theft : other","illinois institute of technology: main campus: hermann hall","3241 south federal street",NA,NA,2015-10-22 13:25:00,NA,"iitpsd responded to a theft at hermann hall. iitpsd detained one offender who was then turned over to the chicago police department.","THEFT","41.8356669,-87.6283867",41.8356669,-87.6283867
"441","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: keating sports center","3040 south wabash ave",NA,NA,2015-10-22 16:25:00,NA,"iitpsd responded to a student who fainted in the weight room at keating sports center.","MEDICAL INCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"442","damage to property","illinois institute of technology: main campus: machinery hall","100 west 33rd street",NA,NA,2015-10-22 18:00:00,NA,"iitpsd responded to a call about graffiti on the machinery hall building.","DAMAGE TO PROPERTY","41.8348113,-87.6291272",41.8348113,-87.6291272
"443","disturbance","illinois institute of technology: main campus: gunsaulus hall","3140 south michigan ave",NA,NA,2015-10-22 18:17:00,NA,"iitpsd responded to an altercation that took place between two students at gunsaulus. thank you","BATTERY","41.837081,-87.623923",41.837081,-87.623923
"444","utility incident : elevator : entrapment","illinois institute of technology: main campus: stuart building","10 west 31st street",NA,NA,2015-10-21 16:15:00,NA,"iitpsd responded to the stuart building for a temporary elevator entrapment.","UTILITY INCIDENT","41.8387343,-87.6273991",41.8387343,-87.6273991
"445","disturbance","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-10-21 20:30:00,NA,"iitpsd was contacted about a noise complaint at ssv.","DISTURBANCE","41.8346518,-87.6264893",41.8346518,-87.6264893
"446","damage to property","illinois institute of technology: main campus: a5 lot","e 32nd street and south michigan","41.836554","-87.623937",2015-10-21 21:40:00,NA,"iitpsd was contacted about a broken window on a vehicle in the a5 parking lot. thank you","DAMAGE TO PROPERTY","41.8364598,-87.6233963",41.8364598,-87.6233963
"447","alarm : fire","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-10-20 15:40:00,NA,"iitpsd responded to msv for an active fire alarm. it was later found to be a false alarm.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
